128, 3106, 24.27
256, 4900, 19.14
512, 8490, 16.58
1024, 15668, 15.30
2048, 29958, 14.63
4096, 58560, 14.30
8192, 115784, 14.13
16384, 230162, 14.05
128, 3088, 24.12
256, 4868, 19.02
512, 8514, 16.63
1024, 15654, 15.29
2048, 29954, 14.63
4096, 58546, 14.29
8192, 115730, 14.13
16384, 230152, 14.05
128, 3092, 24.16
256, 4856, 18.97
512, 8520, 16.64
1024, 15640, 15.27
2048, 29964, 14.63
4096, 58536, 14.29
8192, 115746, 14.13
16384, 230304, 14.06
128, 3090, 24.14
256, 4890, 19.10
512, 8478, 16.56
1024, 15650, 15.28
2048, 29980, 14.64
4096, 58592, 14.30
8192, 115736, 14.13
16384, 230180, 14.05
128, 3092, 24.16
256, 4926, 19.24
512, 8474, 16.55
1024, 15646, 15.28
2048, 29954, 14.63
4096, 58534, 14.29
8192, 115802, 14.14
16384, 230142, 14.05
128, 3090, 24.14
256, 4896, 19.12
512, 8504, 16.61
1024, 15674, 15.31
2048, 29952, 14.62
4096, 58580, 14.30
8192, 115740, 14.13
16384, 230134, 14.05
128, 3090, 24.14
256, 4876, 19.05
512, 8478, 16.56
1024, 15656, 15.29
2048, 29938, 14.62
4096, 58542, 14.29
8192, 115754, 14.13
16384, 230204, 14.05
128, 3082, 24.08
256, 4872, 19.03
512, 8512, 16.62
1024, 15654, 15.29
2048, 29968, 14.63
4096, 58562, 14.30
8192, 115812, 14.14
16384, 230248, 14.05
128, 3148, 24.59
256, 4882, 19.07
512, 8508, 16.62
1024, 15666, 15.30
2048, 29942, 14.62
4096, 58588, 14.30
8192, 115754, 14.13
16384, 230256, 14.05
128, 3096, 24.19
256, 4906, 19.16
512, 8520, 16.64
1024, 15652, 15.29
2048, 29954, 14.63
4096, 58594, 14.31
8192, 115702, 14.12
16384, 230238, 14.05
128, 3094, 24.17
256, 4886, 19.09
512, 8534, 16.67
1024, 15684, 15.32
2048, 29962, 14.63
4096, 58626, 14.31
8192, 115808, 14.14
16384, 230294, 14.06
