128, 2220, 17.34
256, 3310, 12.93
512, 5452, 10.65
1024, 10890, 10.63
2048, 21746, 10.62
4096, 43338, 10.58
8192, 85570, 10.45
16384, 170948, 10.43
128, 2224, 17.38
256, 3316, 12.95
512, 5454, 10.65
1024, 10892, 10.64
2048, 21732, 10.61
4096, 43348, 10.58
8192, 85582, 10.45
16384, 171008, 10.44
128, 2224, 17.38
256, 3310, 12.93
512, 5454, 10.65
1024, 10910, 10.65
2048, 21744, 10.62
4096, 43340, 10.58
8192, 85554, 10.44
16384, 170992, 10.44
128, 2222, 17.36
256, 3314, 12.95
512, 5458, 10.66
1024, 10884, 10.63
2048, 21758, 10.62
4096, 43346, 10.58
8192, 85524, 10.44
16384, 171010, 10.44
128, 2222, 17.36
256, 3314, 12.95
512, 5456, 10.66
1024, 10900, 10.64
2048, 21734, 10.61
4096, 43326, 10.58
8192, 85558, 10.44
16384, 171006, 10.44
128, 2220, 17.34
256, 3316, 12.95
512, 5462, 10.67
1024, 10902, 10.65
2048, 21734, 10.61
4096, 43354, 10.58
8192, 85564, 10.44
16384, 170990, 10.44
128, 2226, 17.39
256, 3314, 12.95
512, 5454, 10.65
1024, 10896, 10.64
2048, 21750, 10.62
4096, 43318, 10.58
8192, 85500, 10.44
16384, 170974, 10.44
128, 2224, 17.38
256, 3318, 12.96
512, 5456, 10.66
1024, 10892, 10.64
2048, 21744, 10.62
4096, 43332, 10.58
8192, 85584, 10.45
16384, 170990, 10.44
128, 2224, 17.38
256, 3318, 12.96
512, 5458, 10.66
1024, 10888, 10.63
2048, 21744, 10.62
4096, 43312, 10.57
8192, 85594, 10.45
16384, 170982, 10.44
128, 2226, 17.39
256, 3316, 12.95
512, 5456, 10.66
1024, 10914, 10.66
2048, 21742, 10.62
4096, 43366, 10.59
8192, 85500, 10.44
16384, 171008, 10.44
128, 2222, 17.36
256, 3312, 12.94
512, 5464, 10.67
1024, 10898, 10.64
2048, 21740, 10.62
4096, 43352, 10.58
8192, 85548, 10.44
16384, 170998, 10.44
