128, 138, 1.08
256, 296, 1.16
512, 578, 1.13
1024, 1028, 1.00
2048, 1906, 0.93
4096, 3670, 0.90
8192, 7174, 0.88
16384, 14198, 0.87
128, 138, 1.08
256, 306, 1.20
512, 582, 1.14
1024, 1030, 1.01
2048, 1904, 0.93
4096, 3662, 0.89
8192, 7168, 0.88
16384, 14182, 0.87
128, 138, 1.08
256, 304, 1.19
512, 580, 1.13
1024, 1034, 1.01
2048, 1902, 0.93
4096, 3666, 0.90
8192, 7160, 0.87
16384, 14192, 0.87
128, 138, 1.08
256, 270, 1.05
512, 580, 1.13
1024, 1032, 1.01
2048, 1906, 0.93
4096, 3662, 0.89
8192, 7186, 0.88
16384, 14190, 0.87
128, 138, 1.08
256, 270, 1.05
512, 580, 1.13
1024, 1030, 1.01
2048, 1904, 0.93
4096, 3658, 0.89
8192, 7160, 0.87
16384, 14202, 0.87
128, 138, 1.08
256, 304, 1.19
512, 580, 1.13
1024, 1030, 1.01
2048, 1906, 0.93
4096, 3654, 0.89
8192, 7168, 0.88
16384, 14218, 0.87
128, 138, 1.08
256, 306, 1.20
512, 580, 1.13
1024, 1032, 1.01
2048, 1916, 0.94
4096, 3670, 0.90
8192, 7214, 0.88
16384, 14166, 0.86
128, 138, 1.08
256, 306, 1.20
512, 580, 1.13
1024, 1028, 1.00
2048, 1910, 0.93
4096, 3676, 0.90
8192, 7188, 0.88
16384, 14192, 0.87
128, 138, 1.08
256, 304, 1.19
512, 580, 1.13
1024, 1030, 1.01
2048, 1914, 0.93
4096, 3680, 0.90
8192, 7180, 0.88
16384, 14180, 0.87
128, 138, 1.08
256, 304, 1.19
512, 580, 1.13
1024, 1026, 1.00
2048, 1904, 0.93
4096, 3658, 0.89
8192, 7184, 0.88
16384, 14170, 0.86
128, 138, 1.08
256, 306, 1.20
512, 580, 1.13
1024, 1030, 1.01
2048, 1908, 0.93
4096, 3656, 0.89
8192, 7164, 0.87
16384, 14178, 0.87
