128, 138, 1.08
256, 256, 1.00
512, 394, 0.77
1024, 670, 0.65
2048, 1218, 0.59
4096, 2324, 0.57
8192, 4532, 0.55
16384, 8958, 0.55
128, 138, 1.08
256, 256, 1.00
512, 394, 0.77
1024, 670, 0.65
2048, 1224, 0.60
4096, 2324, 0.57
8192, 4524, 0.55
16384, 8936, 0.55
128, 138, 1.08
256, 256, 1.00
512, 394, 0.77
1024, 672, 0.66
2048, 1216, 0.59
4096, 2324, 0.57
8192, 4532, 0.55
16384, 8936, 0.55
128, 138, 1.08
256, 254, 0.99
512, 392, 0.77
1024, 670, 0.65
2048, 1220, 0.60
4096, 2320, 0.57
8192, 4534, 0.55
16384, 8942, 0.55
128, 138, 1.08
256, 256, 1.00
512, 394, 0.77
1024, 666, 0.65
2048, 1220, 0.60
4096, 2326, 0.57
8192, 4526, 0.55
16384, 8942, 0.55
128, 138, 1.08
256, 256, 1.00
512, 394, 0.77
1024, 672, 0.66
2048, 1220, 0.60
4096, 2324, 0.57
8192, 4534, 0.55
16384, 8942, 0.55
128, 138, 1.08
256, 256, 1.00
512, 392, 0.77
1024, 670, 0.65
2048, 1218, 0.59
4096, 2326, 0.57
8192, 4526, 0.55
16384, 8938, 0.55
128, 138, 1.08
256, 256, 1.00
512, 394, 0.77
1024, 670, 0.65
2048, 1222, 0.60
4096, 2326, 0.57
8192, 4522, 0.55
16384, 8940, 0.55
128, 138, 1.08
256, 254, 0.99
512, 390, 0.76
1024, 672, 0.66
2048, 1220, 0.60
4096, 2324, 0.57
8192, 4526, 0.55
16384, 8938, 0.55
128, 138, 1.08
256, 254, 0.99
512, 394, 0.77
1024, 668, 0.65
2048, 1220, 0.60
4096, 2324, 0.57
8192, 4532, 0.55
16384, 8942, 0.55
128, 136, 1.06
256, 256, 1.00
512, 394, 0.77
1024, 670, 0.65
2048, 1222, 0.60
4096, 2326, 0.57
8192, 4532, 0.55
16384, 8942, 0.55
