128, 142, 1.11
256, 260, 1.02
512, 396, 0.77
1024, 670, 0.65
2048, 1226, 0.60
4096, 2326, 0.57
8192, 4530, 0.55
16384, 8938, 0.55
128, 142, 1.11
256, 258, 1.01
512, 396, 0.77
1024, 674, 0.66
2048, 1226, 0.60
4096, 2326, 0.57
8192, 4530, 0.55
16384, 8942, 0.55
128, 140, 1.09
256, 258, 1.01
512, 400, 0.78
1024, 674, 0.66
2048, 1224, 0.60
4096, 2326, 0.57
8192, 4534, 0.55
16384, 8940, 0.55
128, 140, 1.09
256, 258, 1.01
512, 398, 0.78
1024, 674, 0.66
2048, 1224, 0.60
4096, 2324, 0.57
8192, 4536, 0.55
16384, 8952, 0.55
128, 142, 1.11
256, 258, 1.01
512, 400, 0.78
1024, 672, 0.66
2048, 1226, 0.60
4096, 2326, 0.57
8192, 4526, 0.55
16384, 8942, 0.55
128, 142, 1.11
256, 260, 1.02
512, 396, 0.77
1024, 674, 0.66
2048, 1222, 0.60
4096, 2328, 0.57
8192, 4526, 0.55
16384, 8938, 0.55
128, 142, 1.11
256, 260, 1.02
512, 400, 0.78
1024, 672, 0.66
2048, 1222, 0.60
4096, 2326, 0.57
8192, 4530, 0.55
16384, 8948, 0.55
128, 142, 1.11
256, 258, 1.01
512, 396, 0.77
1024, 674, 0.66
2048, 1222, 0.60
4096, 2322, 0.57
8192, 4536, 0.55
16384, 8940, 0.55
128, 142, 1.11
256, 258, 1.01
512, 398, 0.78
1024, 674, 0.66
2048, 1222, 0.60
4096, 2326, 0.57
8192, 4532, 0.55
16384, 8942, 0.55
128, 142, 1.11
256, 260, 1.02
512, 398, 0.78
1024, 674, 0.66
2048, 1224, 0.60
4096, 2326, 0.57
8192, 4526, 0.55
16384, 8938, 0.55
128, 142, 1.11
256, 260, 1.02
512, 396, 0.77
1024, 672, 0.66
2048, 1222, 0.60
4096, 2326, 0.57
8192, 4532, 0.55
16384, 8948, 0.55
