128, 142, 1.11
256, 276, 1.08
512, 572, 1.12
1024, 1034, 1.01
2048, 1916, 0.94
4096, 3678, 0.90
8192, 7188, 0.88
16384, 14240, 0.87
128, 142, 1.11
256, 274, 1.07
512, 574, 1.12
1024, 1036, 1.01
2048, 1910, 0.93
4096, 3678, 0.90
8192, 7202, 0.88
16384, 14264, 0.87
128, 142, 1.11
256, 276, 1.08
512, 572, 1.12
1024, 1036, 1.01
2048, 1918, 0.94
4096, 3676, 0.90
8192, 7196, 0.88
16384, 14254, 0.87
128, 142, 1.11
256, 276, 1.08
512, 572, 1.12
1024, 1036, 1.01
2048, 1918, 0.94
4096, 3678, 0.90
8192, 7204, 0.88
16384, 14250, 0.87
128, 142, 1.11
256, 276, 1.08
512, 572, 1.12
1024, 1036, 1.01
2048, 1914, 0.93
4096, 3676, 0.90
8192, 7200, 0.88
16384, 14248, 0.87
128, 142, 1.11
256, 278, 1.09
512, 574, 1.12
1024, 1036, 1.01
2048, 1912, 0.93
4096, 3682, 0.90
8192, 7186, 0.88
16384, 14240, 0.87
128, 142, 1.11
256, 276, 1.08
512, 572, 1.12
1024, 1036, 1.01
2048, 1916, 0.94
4096, 3676, 0.90
8192, 7200, 0.88
16384, 14240, 0.87
128, 142, 1.11
256, 278, 1.09
512, 574, 1.12
1024, 1036, 1.01
2048, 1918, 0.94
4096, 3670, 0.90
8192, 7212, 0.88
16384, 14252, 0.87
128, 142, 1.11
256, 276, 1.08
512, 572, 1.12
1024, 1038, 1.01
2048, 1918, 0.94
4096, 3678, 0.90
8192, 7184, 0.88
16384, 14246, 0.87
128, 142, 1.11
256, 278, 1.09
512, 572, 1.12
1024, 1036, 1.01
2048, 1916, 0.94
4096, 3672, 0.90
8192, 7204, 0.88
16384, 14242, 0.87
128, 142, 1.11
256, 274, 1.07
512, 572, 1.12
1024, 1034, 1.01
2048, 1912, 0.93
4096, 3674, 0.90
8192, 7192, 0.88
16384, 14246, 0.87
