128, 138, 1.08
256, 274, 1.07
512, 578, 1.13
1024, 1126, 1.10
2048, 2216, 1.08
4096, 4408, 1.08
8192, 8786, 1.07
16384, 17542, 1.07
128, 138, 1.08
256, 304, 1.19
512, 578, 1.13
1024, 1126, 1.10
2048, 2220, 1.08
4096, 4408, 1.08
8192, 8788, 1.07
16384, 17544, 1.07
128, 138, 1.08
256, 304, 1.19
512, 578, 1.13
1024, 1124, 1.10
2048, 2220, 1.08
4096, 4406, 1.08
8192, 8786, 1.07
16384, 17542, 1.07
128, 138, 1.08
256, 304, 1.19
512, 578, 1.13
1024, 1126, 1.10
2048, 2216, 1.08
4096, 4408, 1.08
8192, 8788, 1.07
16384, 17542, 1.07
128, 138, 1.08
256, 304, 1.19
512, 578, 1.13
1024, 1128, 1.10
2048, 2220, 1.08
4096, 4408, 1.08
8192, 8788, 1.07
16384, 17542, 1.07
128, 138, 1.08
256, 306, 1.20
512, 578, 1.13
1024, 1120, 1.09
2048, 2216, 1.08
4096, 4410, 1.08
8192, 8788, 1.07
16384, 17542, 1.07
128, 138, 1.08
256, 304, 1.19
512, 578, 1.13
1024, 1126, 1.10
2048, 2220, 1.08
4096, 4408, 1.08
8192, 8784, 1.07
16384, 17544, 1.07
128, 138, 1.08
256, 298, 1.16
512, 574, 1.12
1024, 1120, 1.09
2048, 2218, 1.08
4096, 4410, 1.08
8192, 8790, 1.07
16384, 17542, 1.07
128, 138, 1.08
256, 304, 1.19
512, 578, 1.13
1024, 1126, 1.10
2048, 2220, 1.08
4096, 4410, 1.08
8192, 8788, 1.07
16384, 17542, 1.07
128, 138, 1.08
256, 308, 1.20
512, 576, 1.12
1024, 1128, 1.10
2048, 2224, 1.09
4096, 4406, 1.08
8192, 8788, 1.07
16384, 17540, 1.07
128, 138, 1.08
256, 304, 1.19
512, 578, 1.13
1024, 1126, 1.10
2048, 2220, 1.08
4096, 4408, 1.08
8192, 8786, 1.07
16384, 17540, 1.07
