128, 142, 1.11
256, 274, 1.07
512, 578, 1.13
1024, 1122, 1.10
2048, 2218, 1.08
4096, 4406, 1.08
8192, 8784, 1.07
16384, 17540, 1.07
128, 142, 1.11
256, 276, 1.08
512, 580, 1.13
1024, 1120, 1.09
2048, 2220, 1.08
4096, 4406, 1.08
8192, 8786, 1.07
16384, 17542, 1.07
128, 142, 1.11
256, 274, 1.07
512, 574, 1.12
1024, 1120, 1.09
2048, 2220, 1.08
4096, 4404, 1.08
8192, 8784, 1.07
16384, 17542, 1.07
128, 142, 1.11
256, 274, 1.07
512, 578, 1.13
1024, 1122, 1.10
2048, 2214, 1.08
4096, 4406, 1.08
8192, 8784, 1.07
16384, 17544, 1.07
128, 142, 1.11
256, 274, 1.07
512, 572, 1.12
1024, 1126, 1.10
2048, 2216, 1.08
4096, 4404, 1.08
8192, 8786, 1.07
16384, 17542, 1.07
128, 142, 1.11
256, 276, 1.08
512, 574, 1.12
1024, 1120, 1.09
2048, 2216, 1.08
4096, 4404, 1.08
8192, 8784, 1.07
16384, 17544, 1.07
128, 142, 1.11
256, 274, 1.07
512, 578, 1.13
1024, 1120, 1.09
2048, 2216, 1.08
4096, 4404, 1.08
8192, 8786, 1.07
16384, 17542, 1.07
128, 142, 1.11
256, 274, 1.07
512, 578, 1.13
1024, 1120, 1.09
2048, 2218, 1.08
4096, 4404, 1.08
8192, 8784, 1.07
16384, 17542, 1.07
128, 142, 1.11
256, 274, 1.07
512, 572, 1.12
1024, 1120, 1.09
2048, 2222, 1.08
4096, 4404, 1.08
8192, 8784, 1.07
16384, 17544, 1.07
128, 142, 1.11
256, 274, 1.07
512, 578, 1.13
1024, 1122, 1.10
2048, 2220, 1.08
4096, 4404, 1.08
8192, 8784, 1.07
16384, 17542, 1.07
128, 142, 1.11
256, 274, 1.07
512, 574, 1.12
1024, 1124, 1.10
2048, 2220, 1.08
4096, 4410, 1.08
8192, 8786, 1.07
16384, 17544, 1.07
