128, 1194, 9.33
256, 2012, 7.86
512, 3008, 5.88
1024, 4840, 4.73
2048, 8490, 4.15
4096, 15772, 3.85
8192, 30358, 3.71
16384, 59502, 3.63
128, 1194, 9.33
256, 2012, 7.86
512, 3010, 5.88
1024, 4840, 4.73
2048, 8494, 4.15
4096, 15780, 3.85
8192, 30354, 3.71
16384, 59498, 3.63
128, 1194, 9.33
256, 2012, 7.86
512, 3008, 5.88
1024, 4842, 4.73
2048, 8486, 4.14
4096, 15772, 3.85
8192, 30346, 3.70
16384, 59510, 3.63
128, 1196, 9.34
256, 2010, 7.85
512, 3010, 5.88
1024, 4842, 4.73
2048, 8488, 4.14
4096, 15780, 3.85
8192, 30348, 3.70
16384, 59498, 3.63
128, 1194, 9.33
256, 2012, 7.86
512, 3010, 5.88
1024, 4842, 4.73
2048, 8488, 4.14
4096, 15786, 3.85
8192, 30354, 3.71
16384, 59488, 3.63
128, 1196, 9.34
256, 2012, 7.86
512, 3008, 5.88
1024, 4844, 4.73
2048, 8488, 4.14
4096, 15776, 3.85
8192, 30354, 3.71
16384, 59496, 3.63
128, 1194, 9.33
256, 2012, 7.86
512, 3008, 5.88
1024, 4840, 4.73
2048, 8482, 4.14
4096, 15770, 3.85
8192, 30356, 3.71
16384, 59502, 3.63
128, 1196, 9.34
256, 2010, 7.85
512, 3008, 5.88
1024, 4840, 4.73
2048, 8492, 4.15
4096, 15774, 3.85
8192, 30352, 3.71
16384, 59500, 3.63
128, 1196, 9.34
256, 2010, 7.85
512, 3006, 5.87
1024, 4844, 4.73
2048, 8486, 4.14
4096, 15770, 3.85
8192, 30364, 3.71
16384, 59502, 3.63
128, 1198, 9.36
256, 2012, 7.86
512, 3008, 5.88
1024, 4842, 4.73
2048, 8486, 4.14
4096, 15776, 3.85
8192, 30356, 3.71
16384, 59490, 3.63
128, 1194, 9.33
256, 2012, 7.86
512, 3010, 5.88
1024, 4840, 4.73
2048, 8486, 4.14
4096, 15778, 3.85
8192, 30346, 3.70
16384, 59492, 3.63
