128, 1206, 9.42
256, 1326, 5.18
512, 2158, 4.21
1024, 3140, 3.07
2048, 5102, 2.49
4096, 9032, 2.21
8192, 16888, 2.06
16384, 32602, 1.99
128, 1206, 9.42
256, 1324, 5.17
512, 2156, 4.21
1024, 3136, 3.06
2048, 5100, 2.49
4096, 9034, 2.21
8192, 16892, 2.06
16384, 32598, 1.99
128, 1204, 9.41
256, 1326, 5.18
512, 2156, 4.21
1024, 3138, 3.06
2048, 5102, 2.49
4096, 9030, 2.20
8192, 16886, 2.06
16384, 32606, 1.99
128, 1206, 9.42
256, 1324, 5.17
512, 2158, 4.21
1024, 3138, 3.06
2048, 5102, 2.49
4096, 9030, 2.20
8192, 16886, 2.06
16384, 32598, 1.99
128, 1206, 9.42
256, 1328, 5.19
512, 2158, 4.21
1024, 3140, 3.07
2048, 5102, 2.49
4096, 9030, 2.20
8192, 16884, 2.06
16384, 32596, 1.99
128, 1208, 9.44
256, 1326, 5.18
512, 2158, 4.21
1024, 3138, 3.06
2048, 5102, 2.49
4096, 9032, 2.21
8192, 16882, 2.06
16384, 32604, 1.99
128, 1206, 9.42
256, 1324, 5.17
512, 2158, 4.21
1024, 3140, 3.07
2048, 5100, 2.49
4096, 9032, 2.21
8192, 16884, 2.06
16384, 32596, 1.99
128, 1206, 9.42
256, 1328, 5.19
512, 2158, 4.21
1024, 3140, 3.07
2048, 5104, 2.49
4096, 9032, 2.21
8192, 16886, 2.06
16384, 32598, 1.99
128, 1206, 9.42
256, 1324, 5.17
512, 2158, 4.21
1024, 3142, 3.07
2048, 5102, 2.49
4096, 9036, 2.21
8192, 16880, 2.06
16384, 32600, 1.99
128, 1204, 9.41
256, 1326, 5.18
512, 2156, 4.21
1024, 3138, 3.06
2048, 5102, 2.49
4096, 9028, 2.20
8192, 16886, 2.06
16384, 32598, 1.99
128, 1206, 9.42
256, 1324, 5.17
512, 2156, 4.21
1024, 3140, 3.07
2048, 5100, 2.49
4096, 9036, 2.21
8192, 16884, 2.06
16384, 32600, 1.99
