128, 1964, 15.34
256, 2092, 8.17
512, 2920, 5.70
1024, 3900, 3.81
2048, 5860, 2.86
4096, 9780, 2.39
8192, 17618, 2.15
16384, 33290, 2.03
128, 1962, 15.33
256, 2090, 8.16
512, 2918, 5.70
1024, 3902, 3.81
2048, 5856, 2.86
4096, 9780, 2.39
8192, 17616, 2.15
16384, 33284, 2.03
128, 1964, 15.34
256, 2090, 8.16
512, 2920, 5.70
1024, 3902, 3.81
2048, 5856, 2.86
4096, 9782, 2.39
8192, 17616, 2.15
16384, 33300, 2.03
128, 1964, 15.34
256, 2090, 8.16
512, 2918, 5.70
1024, 3900, 3.81
2048, 5856, 2.86
4096, 9778, 2.39
8192, 17616, 2.15
16384, 33300, 2.03
128, 1962, 15.33
256, 2088, 8.16
512, 2918, 5.70
1024, 3900, 3.81
2048, 5858, 2.86
4096, 9782, 2.39
8192, 17614, 2.15
16384, 33296, 2.03
128, 1966, 15.36
256, 2090, 8.16
512, 2918, 5.70
1024, 3900, 3.81
2048, 5856, 2.86
4096, 9778, 2.39
8192, 17618, 2.15
16384, 33290, 2.03
128, 1964, 15.34
256, 2088, 8.16
512, 2922, 5.71
1024, 3898, 3.81
2048, 5858, 2.86
4096, 9776, 2.39
8192, 17610, 2.15
16384, 33292, 2.03
128, 1962, 15.33
256, 2090, 8.16
512, 2920, 5.70
1024, 3900, 3.81
2048, 5856, 2.86
4096, 9780, 2.39
8192, 17614, 2.15
16384, 33298, 2.03
128, 1962, 15.33
256, 2090, 8.16
512, 2920, 5.70
1024, 3902, 3.81
2048, 5858, 2.86
4096, 9776, 2.39
8192, 17616, 2.15
16384, 33290, 2.03
128, 1964, 15.34
256, 2092, 8.17
512, 2920, 5.70
1024, 3898, 3.81
2048, 5858, 2.86
4096, 9776, 2.39
8192, 17616, 2.15
16384, 33300, 2.03
128, 1960, 15.31
256, 2092, 8.17
512, 2918, 5.70
1024, 3900, 3.81
2048, 5858, 2.86
4096, 9780, 2.39
8192, 17618, 2.15
16384, 33290, 2.03
