128, 888, 6.94
256, 1010, 3.95
512, 1148, 2.24
1024, 1424, 1.39
2048, 1978, 0.97
4096, 3084, 0.75
8192, 5296, 0.65
16384, 9728, 0.59
128, 894, 6.98
256, 1010, 3.95
512, 1150, 2.25
1024, 1424, 1.39
2048, 1978, 0.97
4096, 3084, 0.75
8192, 5300, 0.65
16384, 9726, 0.59
128, 890, 6.95
256, 1008, 3.94
512, 1146, 2.24
1024, 1424, 1.39
2048, 1976, 0.96
4096, 3086, 0.75
8192, 5298, 0.65
16384, 9728, 0.59
128, 888, 6.94
256, 1008, 3.94
512, 1148, 2.24
1024, 1422, 1.39
2048, 1976, 0.96
4096, 3084, 0.75
8192, 5298, 0.65
16384, 9728, 0.59
128, 888, 6.94
256, 1008, 3.94
512, 1144, 2.23
1024, 1424, 1.39
2048, 1978, 0.97
4096, 3086, 0.75
8192, 5300, 0.65
16384, 9730, 0.59
128, 890, 6.95
256, 1010, 3.95
512, 1146, 2.24
1024, 1424, 1.39
2048, 1976, 0.96
4096, 3086, 0.75
8192, 5294, 0.65
16384, 9732, 0.59
128, 890, 6.95
256, 1008, 3.94
512, 1148, 2.24
1024, 1422, 1.39
2048, 1978, 0.97
4096, 3084, 0.75
8192, 5300, 0.65
16384, 9728, 0.59
128, 890, 6.95
256, 1008, 3.94
512, 1144, 2.23
1024, 1424, 1.39
2048, 1978, 0.97
4096, 3084, 0.75
8192, 5300, 0.65
16384, 9726, 0.59
128, 888, 6.94
256, 1010, 3.95
512, 1146, 2.24
1024, 1424, 1.39
2048, 1976, 0.96
4096, 3084, 0.75
8192, 5298, 0.65
16384, 9730, 0.59
128, 890, 6.95
256, 1008, 3.94
512, 1148, 2.24
1024, 1424, 1.39
2048, 1976, 0.96
4096, 3082, 0.75
8192, 5296, 0.65
16384, 9726, 0.59
128, 888, 6.94
256, 1012, 3.95
512, 1146, 2.24
1024, 1422, 1.39
2048, 1978, 0.97
4096, 3084, 0.75
8192, 5298, 0.65
16384, 9730, 0.59
