128, 1956, 15.28
256, 2790, 10.90
512, 3760, 7.34
1024, 5610, 5.48
2048, 9266, 4.52
4096, 16566, 4.04
8192, 31180, 3.81
16384, 60384, 3.69
128, 1956, 15.28
256, 2788, 10.89
512, 3750, 7.32
1024, 5608, 5.48
2048, 9266, 4.52
4096, 16564, 4.04
8192, 31174, 3.81
16384, 60392, 3.69
128, 1956, 15.28
256, 2776, 10.84
512, 3760, 7.34
1024, 5608, 5.48
2048, 9266, 4.52
4096, 16562, 4.04
8192, 31182, 3.81
16384, 60384, 3.69
128, 1954, 15.27
256, 2780, 10.86
512, 3758, 7.34
1024, 5610, 5.48
2048, 9266, 4.52
4096, 16562, 4.04
8192, 31178, 3.81
16384, 60372, 3.68
128, 1954, 15.27
256, 2792, 10.91
512, 3758, 7.34
1024, 5608, 5.48
2048, 9266, 4.52
4096, 16564, 4.04
8192, 31172, 3.81
16384, 60384, 3.69
128, 1956, 15.28
256, 2782, 10.87
512, 3758, 7.34
1024, 5610, 5.48
2048, 9266, 4.52
4096, 16566, 4.04
8192, 31172, 3.81
16384, 60382, 3.69
128, 1954, 15.27
256, 2780, 10.86
512, 3760, 7.34
1024, 5608, 5.48
2048, 9264, 4.52
4096, 16564, 4.04
8192, 31176, 3.81
16384, 60394, 3.69
128, 1956, 15.28
256, 2784, 10.88
512, 3760, 7.34
1024, 5610, 5.48
2048, 9266, 4.52
4096, 16566, 4.04
8192, 31172, 3.81
16384, 60382, 3.69
128, 1958, 15.30
256, 2788, 10.89
512, 3750, 7.32
1024, 5610, 5.48
2048, 9266, 4.52
4096, 16568, 4.04
8192, 31176, 3.81
16384, 60386, 3.69
128, 1954, 15.27
256, 2786, 10.88
512, 3758, 7.34
1024, 5610, 5.48
2048, 9266, 4.52
4096, 16564, 4.04
8192, 31174, 3.81
16384, 60394, 3.69
128, 1956, 15.28
256, 2778, 10.85
512, 3760, 7.34
1024, 5610, 5.48
2048, 9266, 4.52
4096, 16566, 4.04
8192, 31176, 3.81
16384, 60400, 3.69
