128, 890, 6.95
256, 1052, 4.11
512, 1328, 2.59
1024, 1782, 1.74
2048, 2656, 1.30
4096, 4414, 1.08
8192, 7920, 0.97
16384, 14954, 0.91
128, 890, 6.95
256, 1052, 4.11
512, 1322, 2.58
1024, 1780, 1.74
2048, 2656, 1.30
4096, 4412, 1.08
8192, 7922, 0.97
16384, 14948, 0.91
128, 888, 6.94
256, 1048, 4.09
512, 1322, 2.58
1024, 1782, 1.74
2048, 2658, 1.30
4096, 4414, 1.08
8192, 7920, 0.97
16384, 14950, 0.91
128, 890, 6.95
256, 1024, 4.00
512, 1326, 2.59
1024, 1780, 1.74
2048, 2658, 1.30
4096, 4408, 1.08
8192, 7922, 0.97
16384, 14950, 0.91
128, 888, 6.94
256, 1050, 4.10
512, 1324, 2.59
1024, 1780, 1.74
2048, 2658, 1.30
4096, 4414, 1.08
8192, 7924, 0.97
16384, 14934, 0.91
128, 890, 6.95
256, 1054, 4.12
512, 1328, 2.59
1024, 1780, 1.74
2048, 2656, 1.30
4096, 4408, 1.08
8192, 7918, 0.97
16384, 14940, 0.91
128, 890, 6.95
256, 1050, 4.10
512, 1324, 2.59
1024, 1780, 1.74
2048, 2658, 1.30
4096, 4412, 1.08
8192, 7922, 0.97
16384, 14948, 0.91
128, 888, 6.94
256, 1050, 4.10
512, 1318, 2.57
1024, 1780, 1.74
2048, 2660, 1.30
4096, 4414, 1.08
8192, 7928, 0.97
16384, 14948, 0.91
128, 890, 6.95
256, 1054, 4.12
512, 1328, 2.59
1024, 1780, 1.74
2048, 2654, 1.30
4096, 4412, 1.08
8192, 7916, 0.97
16384, 14946, 0.91
128, 890, 6.95
256, 1054, 4.12
512, 1324, 2.59
1024, 1782, 1.74
2048, 2658, 1.30
4096, 4410, 1.08
8192, 7918, 0.97
16384, 14924, 0.91
128, 890, 6.95
256, 1024, 4.00
512, 1322, 2.58
1024, 1778, 1.74
2048, 2656, 1.30
4096, 4412, 1.08
8192, 7924, 0.97
16384, 14956, 0.91
