128, 2392, 18.69
256, 3276, 12.80
512, 5052, 9.87
1024, 8596, 8.39
2048, 15700, 7.67
4096, 29824, 7.28
8192, 58104, 7.09
16384, 114662, 7.00
128, 2386, 18.64
256, 3268, 12.77
512, 5056, 9.88
1024, 8594, 8.39
2048, 15694, 7.66
4096, 29828, 7.28
8192, 58144, 7.10
16384, 114652, 7.00
128, 2382, 18.61
256, 3272, 12.78
512, 5066, 9.89
1024, 8606, 8.40
2048, 15692, 7.66
4096, 29832, 7.28
8192, 58094, 7.09
16384, 114654, 7.00
128, 2384, 18.62
256, 3276, 12.80
512, 5060, 9.88
1024, 8600, 8.40
2048, 15702, 7.67
4096, 29832, 7.28
8192, 58084, 7.09
16384, 114662, 7.00
128, 2384, 18.62
256, 3270, 12.77
512, 5060, 9.88
1024, 8598, 8.40
2048, 15696, 7.66
4096, 29840, 7.29
8192, 58094, 7.09
16384, 114644, 7.00
128, 2384, 18.62
256, 3272, 12.78
512, 5052, 9.87
1024, 8590, 8.39
2048, 15702, 7.67
4096, 29832, 7.28
8192, 58108, 7.09
16384, 114652, 7.00
128, 2382, 18.61
256, 3274, 12.79
512, 5054, 9.87
1024, 8590, 8.39
2048, 15698, 7.67
4096, 29824, 7.28
8192, 58106, 7.09
16384, 114662, 7.00
128, 2384, 18.62
256, 3270, 12.77
512, 5054, 9.87
1024, 8596, 8.39
2048, 15704, 7.67
4096, 29828, 7.28
8192, 58100, 7.09
16384, 114676, 7.00
128, 2382, 18.61
256, 3270, 12.77
512, 5058, 9.88
1024, 8596, 8.39
2048, 15688, 7.66
4096, 29846, 7.29
8192, 58136, 7.10
16384, 114710, 7.00
128, 2384, 18.62
256, 3270, 12.77
512, 5062, 9.89
1024, 8592, 8.39
2048, 15696, 7.66
4096, 29836, 7.28
8192, 58102, 7.09
16384, 114652, 7.00
128, 2382, 18.61
256, 3274, 12.79
512, 5050, 9.86
1024, 8600, 8.40
2048, 15696, 7.66
4096, 29838, 7.28
8192, 58112, 7.09
16384, 114668, 7.00
