128, 886, 6.92
256, 1048, 4.09
512, 1324, 2.59
1024, 1870, 1.83
2048, 2968, 1.45
4096, 5156, 1.26
8192, 9536, 1.16
16384, 18292, 1.12
128, 888, 6.94
256, 1050, 4.10
512, 1324, 2.59
1024, 1872, 1.83
2048, 2964, 1.45
4096, 5154, 1.26
8192, 9536, 1.16
16384, 18294, 1.12
128, 886, 6.92
256, 1052, 4.11
512, 1324, 2.59
1024, 1870, 1.83
2048, 2966, 1.45
4096, 5156, 1.26
8192, 9534, 1.16
16384, 18292, 1.12
128, 886, 6.92
256, 1020, 3.98
512, 1322, 2.58
1024, 1872, 1.83
2048, 2964, 1.45
4096, 5156, 1.26
8192, 9534, 1.16
16384, 18292, 1.12
128, 888, 6.94
256, 1020, 3.98
512, 1326, 2.59
1024, 1874, 1.83
2048, 2964, 1.45
4096, 5156, 1.26
8192, 9536, 1.16
16384, 18294, 1.12
128, 886, 6.92
256, 1048, 4.09
512, 1326, 2.59
1024, 1870, 1.83
2048, 2966, 1.45
4096, 5156, 1.26
8192, 9534, 1.16
16384, 18292, 1.12
128, 886, 6.92
256, 1052, 4.11
512, 1324, 2.59
1024, 1874, 1.83
2048, 2966, 1.45
4096, 5154, 1.26
8192, 9534, 1.16
16384, 18292, 1.12
128, 886, 6.92
256, 1050, 4.10
512, 1324, 2.59
1024, 1870, 1.83
2048, 2968, 1.45
4096, 5156, 1.26
8192, 9532, 1.16
16384, 18292, 1.12
128, 888, 6.94
256, 1020, 3.98
512, 1324, 2.59
1024, 1870, 1.83
2048, 2964, 1.45
4096, 5154, 1.26
8192, 9534, 1.16
16384, 18292, 1.12
128, 886, 6.92
256, 1020, 3.98
512, 1324, 2.59
1024, 1874, 1.83
2048, 2966, 1.45
4096, 5156, 1.26
8192, 9534, 1.16
16384, 18292, 1.12
128, 886, 6.92
256, 1050, 4.10
512, 1324, 2.59
1024, 1870, 1.83
2048, 2966, 1.45
4096, 5156, 1.26
8192, 9534, 1.16
16384, 18292, 1.12
