128, 208, 1.62
256, 438, 1.71
512, 386, 0.75
1024, 756, 0.74
2048, 1498, 0.73
4096, 3000, 0.73
8192, 5976, 0.73
16384, 11954, 0.73
128, 208, 1.62
256, 438, 1.71
512, 388, 0.76
1024, 756, 0.74
2048, 1498, 0.73
4096, 2992, 0.73
8192, 5982, 0.73
16384, 11958, 0.73
128, 208, 1.62
256, 438, 1.71
512, 386, 0.75
1024, 756, 0.74
2048, 1500, 0.73
4096, 2994, 0.73
8192, 5990, 0.73
16384, 11962, 0.73
128, 208, 1.62
256, 438, 1.71
512, 386, 0.75
1024, 756, 0.74
2048, 1502, 0.73
4096, 2998, 0.73
8192, 5984, 0.73
16384, 11958, 0.73
128, 208, 1.62
256, 438, 1.71
512, 388, 0.76
1024, 756, 0.74
2048, 1498, 0.73
4096, 2994, 0.73
8192, 5996, 0.73
16384, 11962, 0.73
128, 210, 1.64
256, 438, 1.71
512, 386, 0.75
1024, 756, 0.74
2048, 1498, 0.73
4096, 2992, 0.73
8192, 5978, 0.73
16384, 11950, 0.73
128, 208, 1.62
256, 438, 1.71
512, 388, 0.76
1024, 756, 0.74
2048, 1500, 0.73
4096, 2992, 0.73
8192, 5974, 0.73
16384, 11944, 0.73
128, 208, 1.62
256, 438, 1.71
512, 386, 0.75
1024, 754, 0.74
2048, 1500, 0.73
4096, 2992, 0.73
8192, 5974, 0.73
16384, 11952, 0.73
128, 208, 1.62
256, 438, 1.71
512, 388, 0.76
1024, 756, 0.74
2048, 1500, 0.73
4096, 2992, 0.73
8192, 5972, 0.73
16384, 11962, 0.73
128, 208, 1.62
256, 438, 1.71
512, 386, 0.75
1024, 758, 0.74
2048, 1502, 0.73
4096, 2992, 0.73
8192, 5982, 0.73
16384, 11960, 0.73
128, 208, 1.62
256, 438, 1.71
512, 386, 0.75
1024, 756, 0.74
2048, 1500, 0.73
4096, 2994, 0.73
8192, 5986, 0.73
16384, 11958, 0.73
