128, 216, 1.69
256, 446, 1.74
512, 394, 0.77
1024, 766, 0.75
2048, 1512, 0.74
4096, 3008, 0.73
8192, 5992, 0.73
16384, 11968, 0.73
128, 216, 1.69
256, 446, 1.74
512, 394, 0.77
1024, 766, 0.75
2048, 1510, 0.74
4096, 3006, 0.73
8192, 5988, 0.73
16384, 11982, 0.73
128, 216, 1.69
256, 446, 1.74
512, 394, 0.77
1024, 766, 0.75
2048, 1512, 0.74
4096, 3006, 0.73
8192, 5990, 0.73
16384, 11968, 0.73
128, 216, 1.69
256, 446, 1.74
512, 394, 0.77
1024, 766, 0.75
2048, 1510, 0.74
4096, 3008, 0.73
8192, 5992, 0.73
16384, 11972, 0.73
128, 216, 1.69
256, 446, 1.74
512, 394, 0.77
1024, 766, 0.75
2048, 1510, 0.74
4096, 3010, 0.73
8192, 5996, 0.73
16384, 11972, 0.73
128, 216, 1.69
256, 446, 1.74
512, 394, 0.77
1024, 764, 0.75
2048, 1510, 0.74
4096, 3004, 0.73
8192, 5996, 0.73
16384, 11968, 0.73
128, 216, 1.69
256, 446, 1.74
512, 394, 0.77
1024, 766, 0.75
2048, 1510, 0.74
4096, 3006, 0.73
8192, 5996, 0.73
16384, 11972, 0.73
128, 216, 1.69
256, 446, 1.74
512, 394, 0.77
1024, 764, 0.75
2048, 1510, 0.74
4096, 3006, 0.73
8192, 5992, 0.73
16384, 11974, 0.73
128, 216, 1.69
256, 446, 1.74
512, 394, 0.77
1024, 766, 0.75
2048, 1510, 0.74
4096, 3006, 0.73
8192, 5990, 0.73
16384, 11974, 0.73
128, 216, 1.69
256, 446, 1.74
512, 394, 0.77
1024, 766, 0.75
2048, 1510, 0.74
4096, 3004, 0.73
8192, 5990, 0.73
16384, 11978, 0.73
128, 216, 1.69
256, 446, 1.74
512, 394, 0.77
1024, 766, 0.75
2048, 1510, 0.74
4096, 3006, 0.73
8192, 5992, 0.73
16384, 11974, 0.73
