128, 490, 3.83
256, 958, 3.74
512, 1878, 3.67
1024, 3720, 3.63
2048, 7402, 3.61
4096, 14818, 3.62
8192, 29442, 3.59
16384, 58800, 3.59
128, 492, 3.84
256, 952, 3.72
512, 1878, 3.67
1024, 3712, 3.62
2048, 7394, 3.61
4096, 14774, 3.61
8192, 29472, 3.60
16384, 58800, 3.59
128, 492, 3.84
256, 958, 3.74
512, 1880, 3.67
1024, 3728, 3.64
2048, 7402, 3.61
4096, 14778, 3.61
8192, 29458, 3.60
16384, 58806, 3.59
128, 492, 3.84
256, 954, 3.73
512, 1878, 3.67
1024, 3706, 3.62
2048, 7398, 3.61
4096, 14784, 3.61
8192, 29428, 3.59
16384, 58788, 3.59
128, 494, 3.86
256, 954, 3.73
512, 1876, 3.66
1024, 3716, 3.63
2048, 7380, 3.60
4096, 14808, 3.62
8192, 29476, 3.60
16384, 58796, 3.59
128, 492, 3.84
256, 956, 3.73
512, 1876, 3.66
1024, 3712, 3.62
2048, 7394, 3.61
4096, 14786, 3.61
8192, 29432, 3.59
16384, 58790, 3.59
128, 492, 3.84
256, 956, 3.73
512, 1874, 3.66
1024, 3714, 3.63
2048, 7410, 3.62
4096, 14758, 3.60
8192, 29444, 3.59
16384, 58796, 3.59
128, 492, 3.84
256, 956, 3.73
512, 1880, 3.67
1024, 3704, 3.62
2048, 7402, 3.61
4096, 14780, 3.61
8192, 29464, 3.60
16384, 58824, 3.59
128, 494, 3.86
256, 958, 3.74
512, 1878, 3.67
1024, 3730, 3.64
2048, 7410, 3.62
4096, 14802, 3.61
8192, 29460, 3.60
16384, 58834, 3.59
128, 490, 3.83
256, 956, 3.73
512, 1878, 3.67
1024, 3714, 3.63
2048, 7384, 3.61
4096, 14764, 3.60
8192, 29444, 3.59
16384, 58802, 3.59
128, 492, 3.84
256, 956, 3.73
512, 1880, 3.67
1024, 3722, 3.63
2048, 7394, 3.61
4096, 14770, 3.61
8192, 29436, 3.59
16384, 58782, 3.59
