128, 726, 5.67
256, 626, 2.45
512, 1230, 2.40
1024, 2434, 2.38
2048, 4846, 2.37
4096, 9676, 2.36
8192, 19350, 2.36
16384, 38674, 2.36
128, 726, 5.67
256, 624, 2.44
512, 1228, 2.40
1024, 2434, 2.38
2048, 4846, 2.37
4096, 9678, 2.36
8192, 19352, 2.36
16384, 38648, 2.36
128, 726, 5.67
256, 626, 2.45
512, 1230, 2.40
1024, 2434, 2.38
2048, 4846, 2.37
4096, 9668, 2.36
8192, 19342, 2.36
16384, 38662, 2.36
128, 726, 5.67
256, 626, 2.45
512, 1230, 2.40
1024, 2434, 2.38
2048, 4844, 2.37
4096, 9668, 2.36
8192, 19350, 2.36
16384, 38652, 2.36
128, 726, 5.67
256, 626, 2.45
512, 1230, 2.40
1024, 2436, 2.38
2048, 4846, 2.37
4096, 9676, 2.36
8192, 19346, 2.36
16384, 38654, 2.36
128, 726, 5.67
256, 626, 2.45
512, 1230, 2.40
1024, 2434, 2.38
2048, 4846, 2.37
4096, 9678, 2.36
8192, 19352, 2.36
16384, 38652, 2.36
128, 726, 5.67
256, 624, 2.44
512, 1230, 2.40
1024, 2434, 2.38
2048, 4846, 2.37
4096, 9676, 2.36
8192, 19342, 2.36
16384, 38660, 2.36
128, 726, 5.67
256, 624, 2.44
512, 1230, 2.40
1024, 2436, 2.38
2048, 4842, 2.36
4096, 9676, 2.36
8192, 19344, 2.36
16384, 38634, 2.36
128, 726, 5.67
256, 626, 2.45
512, 1230, 2.40
1024, 2436, 2.38
2048, 4842, 2.36
4096, 9676, 2.36
8192, 19352, 2.36
16384, 38648, 2.36
128, 726, 5.67
256, 626, 2.45
512, 1232, 2.41
1024, 2436, 2.38
2048, 4848, 2.37
4096, 9680, 2.36
8192, 19348, 2.36
16384, 38668, 2.36
128, 726, 5.67
256, 626, 2.45
512, 1228, 2.40
1024, 2434, 2.38
2048, 4848, 2.37
4096, 9674, 2.36
8192, 19350, 2.36
16384, 38674, 2.36
