128, 770, 6.02
256, 1514, 5.91
512, 2994, 5.85
1024, 5962, 5.82
2048, 11898, 5.81
4096, 23734, 5.79
8192, 47444, 5.79
16384, 94714, 5.78
128, 776, 6.06
256, 1514, 5.91
512, 2996, 5.85
1024, 5956, 5.82
2048, 11920, 5.82
4096, 23750, 5.80
8192, 47410, 5.79
16384, 94722, 5.78
128, 768, 6.00
256, 1510, 5.90
512, 2996, 5.85
1024, 5950, 5.81
2048, 11908, 5.81
4096, 23780, 5.81
8192, 47418, 5.79
16384, 94782, 5.79
128, 768, 6.00
256, 1514, 5.91
512, 2996, 5.85
1024, 5948, 5.81
2048, 11920, 5.82
4096, 23744, 5.80
8192, 47456, 5.79
16384, 94800, 5.79
128, 770, 6.02
256, 1512, 5.91
512, 2988, 5.84
1024, 5962, 5.82
2048, 11890, 5.81
4096, 23736, 5.79
8192, 47362, 5.78
16384, 94770, 5.78
128, 770, 6.02
256, 1512, 5.91
512, 3012, 5.88
1024, 5958, 5.82
2048, 11952, 5.84
4096, 23780, 5.81
8192, 47470, 5.79
16384, 94730, 5.78
128, 772, 6.03
256, 1512, 5.91
512, 3000, 5.86
1024, 5966, 5.83
2048, 11914, 5.82
4096, 23796, 5.81
8192, 47394, 5.79
16384, 94690, 5.78
128, 768, 6.00
256, 1512, 5.91
512, 3000, 5.86
1024, 5942, 5.80
2048, 11908, 5.81
4096, 23738, 5.80
8192, 47428, 5.79
16384, 94598, 5.77
128, 774, 6.05
256, 1512, 5.91
512, 2992, 5.84
1024, 5970, 5.83
2048, 11914, 5.82
4096, 23748, 5.80
8192, 47418, 5.79
16384, 94798, 5.79
128, 770, 6.02
256, 1512, 5.91
512, 3000, 5.86
1024, 5964, 5.82
2048, 11904, 5.81
4096, 23722, 5.79
8192, 47420, 5.79
16384, 94814, 5.79
128, 772, 6.03
256, 1528, 5.97
512, 2998, 5.86
1024, 5968, 5.83
2048, 11900, 5.81
4096, 23758, 5.80
8192, 47410, 5.79
16384, 94828, 5.79
