128, 722, 5.64
256, 616, 2.41
512, 1218, 2.38
1024, 2412, 2.36
2048, 4808, 2.35
4096, 9608, 2.35
8192, 19198, 2.34
16384, 38346, 2.34
128, 722, 5.64
256, 618, 2.41
512, 1218, 2.38
1024, 2408, 2.35
2048, 4810, 2.35
4096, 9600, 2.34
8192, 19200, 2.34
16384, 38374, 2.34
128, 722, 5.64
256, 614, 2.40
512, 1216, 2.38
1024, 2412, 2.36
2048, 4806, 2.35
4096, 9602, 2.34
8192, 19188, 2.34
16384, 38370, 2.34
128, 722, 5.64
256, 616, 2.41
512, 1218, 2.38
1024, 2410, 2.35
2048, 4802, 2.34
4096, 9604, 2.34
8192, 19210, 2.34
16384, 38366, 2.34
128, 722, 5.64
256, 618, 2.41
512, 1216, 2.38
1024, 2412, 2.36
2048, 4806, 2.35
4096, 9602, 2.34
8192, 19206, 2.34
16384, 38368, 2.34
128, 722, 5.64
256, 616, 2.41
512, 1218, 2.38
1024, 2410, 2.35
2048, 4806, 2.35
4096, 9598, 2.34
8192, 19196, 2.34
16384, 38366, 2.34
128, 722, 5.64
256, 618, 2.41
512, 1218, 2.38
1024, 2410, 2.35
2048, 4804, 2.35
4096, 9602, 2.34
8192, 19202, 2.34
16384, 38366, 2.34
128, 722, 5.64
256, 618, 2.41
512, 1216, 2.38
1024, 2412, 2.36
2048, 4800, 2.34
4096, 9608, 2.35
8192, 19204, 2.34
16384, 38364, 2.34
128, 722, 5.64
256, 618, 2.41
512, 1216, 2.38
1024, 2414, 2.36
2048, 4800, 2.34
4096, 9600, 2.34
8192, 19208, 2.34
16384, 38366, 2.34
128, 722, 5.64
256, 614, 2.40
512, 1218, 2.38
1024, 2412, 2.36
2048, 4800, 2.34
4096, 9596, 2.34
8192, 19202, 2.34
16384, 38358, 2.34
128, 722, 5.64
256, 618, 2.41
512, 1220, 2.38
1024, 2414, 2.36
2048, 4802, 2.34
4096, 9602, 2.34
8192, 19200, 2.34
16384, 38342, 2.34
