128, 346, 2.70
256, 736, 2.88
512, 610, 1.19
1024, 1200, 1.17
2048, 2386, 1.17
4096, 4766, 1.16
8192, 9516, 1.16
16384, 19012, 1.16
128, 344, 2.69
256, 734, 2.87
512, 610, 1.19
1024, 1198, 1.17
2048, 2388, 1.17
4096, 4766, 1.16
8192, 9510, 1.16
16384, 19040, 1.16
128, 344, 2.69
256, 736, 2.88
512, 610, 1.19
1024, 1198, 1.17
2048, 2386, 1.17
4096, 4758, 1.16
8192, 9518, 1.16
16384, 19040, 1.16
128, 344, 2.69
256, 736, 2.88
512, 608, 1.19
1024, 1198, 1.17
2048, 2386, 1.17
4096, 4760, 1.16
8192, 9516, 1.16
16384, 19018, 1.16
128, 344, 2.69
256, 734, 2.87
512, 608, 1.19
1024, 1198, 1.17
2048, 2388, 1.17
4096, 4766, 1.16
8192, 9512, 1.16
16384, 19024, 1.16
128, 346, 2.70
256, 736, 2.88
512, 608, 1.19
1024, 1200, 1.17
2048, 2388, 1.17
4096, 4764, 1.16
8192, 9512, 1.16
16384, 19034, 1.16
128, 344, 2.69
256, 734, 2.87
512, 610, 1.19
1024, 1198, 1.17
2048, 2384, 1.16
4096, 4762, 1.16
8192, 9510, 1.16
16384, 19050, 1.16
128, 346, 2.70
256, 736, 2.88
512, 608, 1.19
1024, 1200, 1.17
2048, 2386, 1.17
4096, 4762, 1.16
8192, 9510, 1.16
16384, 19060, 1.16
128, 344, 2.69
256, 736, 2.88
512, 610, 1.19
1024, 1198, 1.17
2048, 2386, 1.17
4096, 4766, 1.16
8192, 9514, 1.16
16384, 19050, 1.16
128, 342, 2.67
256, 734, 2.87
512, 610, 1.19
1024, 1200, 1.17
2048, 2386, 1.17
4096, 4766, 1.16
8192, 9522, 1.16
16384, 19042, 1.16
128, 346, 2.70
256, 736, 2.88
512, 610, 1.19
1024, 1198, 1.17
2048, 2384, 1.16
4096, 4764, 1.16
8192, 9516, 1.16
16384, 19052, 1.16
