128, 350, 2.73
256, 742, 2.90
512, 618, 1.21
1024, 1210, 1.18
2048, 2398, 1.17
4096, 4786, 1.17
8192, 9540, 1.16
16384, 19064, 1.16
128, 348, 2.72
256, 742, 2.90
512, 618, 1.21
1024, 1204, 1.18
2048, 2398, 1.17
4096, 4780, 1.17
8192, 9544, 1.17
16384, 19064, 1.16
128, 350, 2.73
256, 742, 2.90
512, 614, 1.20
1024, 1208, 1.18
2048, 2398, 1.17
4096, 4772, 1.17
8192, 9544, 1.17
16384, 19070, 1.16
128, 352, 2.75
256, 740, 2.89
512, 616, 1.20
1024, 1208, 1.18
2048, 2396, 1.17
4096, 4780, 1.17
8192, 9534, 1.16
16384, 19064, 1.16
128, 350, 2.73
256, 742, 2.90
512, 616, 1.20
1024, 1204, 1.18
2048, 2398, 1.17
4096, 4778, 1.17
8192, 9540, 1.16
16384, 19064, 1.16
128, 352, 2.75
256, 742, 2.90
512, 618, 1.21
1024, 1208, 1.18
2048, 2400, 1.17
4096, 4784, 1.17
8192, 9540, 1.16
16384, 19082, 1.16
128, 350, 2.73
256, 742, 2.90
512, 616, 1.20
1024, 1206, 1.18
2048, 2398, 1.17
4096, 4780, 1.17
8192, 9544, 1.17
16384, 19068, 1.16
128, 350, 2.73
256, 742, 2.90
512, 614, 1.20
1024, 1208, 1.18
2048, 2400, 1.17
4096, 4782, 1.17
8192, 9542, 1.16
16384, 19076, 1.16
128, 348, 2.72
256, 742, 2.90
512, 618, 1.21
1024, 1208, 1.18
2048, 2396, 1.17
4096, 4784, 1.17
8192, 9540, 1.16
16384, 19070, 1.16
128, 352, 2.75
256, 742, 2.90
512, 612, 1.20
1024, 1206, 1.18
2048, 2400, 1.17
4096, 4778, 1.17
8192, 9542, 1.16
16384, 19070, 1.16
128, 348, 2.72
256, 742, 2.90
512, 616, 1.20
1024, 1208, 1.18
2048, 2398, 1.17
4096, 4782, 1.17
8192, 9540, 1.16
16384, 19072, 1.16
