128, 726, 5.67
256, 622, 2.43
512, 1222, 2.39
1024, 2418, 2.36
2048, 4822, 2.35
4096, 9628, 2.35
8192, 19250, 2.35
16384, 38446, 2.35
128, 726, 5.67
256, 622, 2.43
512, 1222, 2.39
1024, 2420, 2.36
2048, 4816, 2.35
4096, 9624, 2.35
8192, 19262, 2.35
16384, 38448, 2.35
128, 726, 5.67
256, 622, 2.43
512, 1222, 2.39
1024, 2422, 2.37
2048, 4822, 2.35
4096, 9630, 2.35
8192, 19252, 2.35
16384, 38466, 2.35
128, 726, 5.67
256, 622, 2.43
512, 1222, 2.39
1024, 2420, 2.36
2048, 4818, 2.35
4096, 9630, 2.35
8192, 19260, 2.35
16384, 38468, 2.35
128, 726, 5.67
256, 622, 2.43
512, 1224, 2.39
1024, 2420, 2.36
2048, 4818, 2.35
4096, 9628, 2.35
8192, 19258, 2.35
16384, 38484, 2.35
128, 726, 5.67
256, 622, 2.43
512, 1222, 2.39
1024, 2420, 2.36
2048, 4818, 2.35
4096, 9636, 2.35
8192, 19256, 2.35
16384, 38454, 2.35
128, 726, 5.67
256, 622, 2.43
512, 1222, 2.39
1024, 2420, 2.36
2048, 4818, 2.35
4096, 9630, 2.35
8192, 19242, 2.35
16384, 38468, 2.35
128, 726, 5.67
256, 622, 2.43
512, 1222, 2.39
1024, 2420, 2.36
2048, 4820, 2.35
4096, 9632, 2.35
8192, 19246, 2.35
16384, 38462, 2.35
128, 724, 5.66
256, 624, 2.44
512, 1224, 2.39
1024, 2420, 2.36
2048, 4818, 2.35
4096, 9632, 2.35
8192, 19246, 2.35
16384, 38448, 2.35
128, 726, 5.67
256, 622, 2.43
512, 1222, 2.39
1024, 2420, 2.36
2048, 4820, 2.35
4096, 9630, 2.35
8192, 19250, 2.35
16384, 38456, 2.35
128, 726, 5.67
256, 622, 2.43
512, 1224, 2.39
1024, 2422, 2.37
2048, 4820, 2.35
4096, 9630, 2.35
8192, 19250, 2.35
16384, 38454, 2.35
