128, 770, 6.02
256, 1510, 5.90
512, 2988, 5.84
1024, 5932, 5.79
2048, 11880, 5.80
4096, 23702, 5.79
8192, 47230, 5.77
16384, 94422, 5.76
128, 770, 6.02
256, 1508, 5.89
512, 2988, 5.84
1024, 5944, 5.80
2048, 11882, 5.80
4096, 23700, 5.79
8192, 47258, 5.77
16384, 94420, 5.76
128, 772, 6.03
256, 1508, 5.89
512, 2982, 5.82
1024, 5928, 5.79
2048, 11890, 5.81
4096, 23694, 5.78
8192, 47286, 5.77
16384, 94396, 5.76
128, 768, 6.00
256, 1506, 5.88
512, 2984, 5.83
1024, 5924, 5.79
2048, 11898, 5.81
4096, 23690, 5.78
8192, 47256, 5.77
16384, 94396, 5.76
128, 768, 6.00
256, 1506, 5.88
512, 2982, 5.82
1024, 5932, 5.79
2048, 11902, 5.81
4096, 23668, 5.78
8192, 47264, 5.77
16384, 94376, 5.76
128, 780, 6.09
256, 1512, 5.91
512, 2982, 5.82
1024, 5936, 5.80
2048, 11880, 5.80
4096, 23666, 5.78
8192, 47250, 5.77
16384, 94436, 5.76
128, 768, 6.00
256, 1506, 5.88
512, 2986, 5.83
1024, 5926, 5.79
2048, 11890, 5.81
4096, 23674, 5.78
8192, 47262, 5.77
16384, 94430, 5.76
128, 768, 6.00
256, 1506, 5.88
512, 2984, 5.83
1024, 5930, 5.79
2048, 11870, 5.80
4096, 23664, 5.78
8192, 47286, 5.77
16384, 94424, 5.76
128, 770, 6.02
256, 1508, 5.89
512, 2988, 5.84
1024, 5932, 5.79
2048, 11876, 5.80
4096, 23686, 5.78
8192, 47272, 5.77
16384, 94412, 5.76
128, 768, 6.00
256, 1522, 5.95
512, 2984, 5.83
1024, 5928, 5.79
2048, 11882, 5.80
4096, 23670, 5.78
8192, 47244, 5.77
16384, 94450, 5.76
128, 768, 6.00
256, 1508, 5.89
512, 2984, 5.83
1024, 5938, 5.80
2048, 11896, 5.81
4096, 23666, 5.78
8192, 47242, 5.77
16384, 94412, 5.76
