128, 772, 6.03
256, 1518, 5.93
512, 3006, 5.87
1024, 6000, 5.86
2048, 11998, 5.86
4096, 23886, 5.83
8192, 47660, 5.82
16384, 95236, 5.81
128, 772, 6.03
256, 1520, 5.94
512, 3014, 5.89
1024, 5996, 5.86
2048, 11998, 5.86
4096, 23894, 5.83
8192, 47638, 5.82
16384, 95204, 5.81
128, 772, 6.03
256, 1518, 5.93
512, 3014, 5.89
1024, 5986, 5.85
2048, 11988, 5.85
4096, 23864, 5.83
8192, 47658, 5.82
16384, 95220, 5.81
128, 774, 6.05
256, 1518, 5.93
512, 3008, 5.88
1024, 5978, 5.84
2048, 11986, 5.85
4096, 23870, 5.83
8192, 47664, 5.82
16384, 95206, 5.81
128, 774, 6.05
256, 1520, 5.94
512, 3020, 5.90
1024, 5980, 5.84
2048, 11986, 5.85
4096, 23880, 5.83
8192, 47662, 5.82
16384, 95218, 5.81
128, 774, 6.05
256, 1524, 5.95
512, 3030, 5.92
1024, 5984, 5.84
2048, 11994, 5.86
4096, 23880, 5.83
8192, 47646, 5.82
16384, 95240, 5.81
128, 774, 6.05
256, 1518, 5.93
512, 3006, 5.87
1024, 5982, 5.84
2048, 12010, 5.86
4096, 23880, 5.83
8192, 47672, 5.82
16384, 95220, 5.81
128, 778, 6.08
256, 1518, 5.93
512, 3012, 5.88
1024, 5988, 5.85
2048, 11988, 5.85
4096, 23894, 5.83
8192, 47650, 5.82
16384, 95216, 5.81
128, 770, 6.02
256, 1518, 5.93
512, 3010, 5.88
1024, 5978, 5.84
2048, 11986, 5.85
4096, 23886, 5.83
8192, 47680, 5.82
16384, 95208, 5.81
128, 772, 6.03
256, 1516, 5.92
512, 3006, 5.87
1024, 5984, 5.84
2048, 11982, 5.85
4096, 23898, 5.83
8192, 47648, 5.82
16384, 95242, 5.81
128, 774, 6.05
256, 1524, 5.95
512, 3008, 5.88
1024, 5982, 5.84
2048, 12006, 5.86
4096, 23888, 5.83
8192, 47666, 5.82
16384, 95206, 5.81
