128, 440, 3.44
256, 440, 1.72
512, 862, 1.68
1024, 1698, 1.66
2048, 3390, 1.66
4096, 6770, 1.65
8192, 13496, 1.65
16384, 26996, 1.65
128, 440, 3.44
256, 438, 1.71
512, 866, 1.69
1024, 1700, 1.66
2048, 3390, 1.66
4096, 6768, 1.65
8192, 13510, 1.65
16384, 27018, 1.65
128, 438, 3.42
256, 440, 1.72
512, 860, 1.68
1024, 1700, 1.66
2048, 3394, 1.66
4096, 6760, 1.65
8192, 13488, 1.65
16384, 27012, 1.65
128, 440, 3.44
256, 436, 1.70
512, 862, 1.68
1024, 1698, 1.66
2048, 3394, 1.66
4096, 6764, 1.65
8192, 13498, 1.65
16384, 27012, 1.65
128, 438, 3.42
256, 436, 1.70
512, 860, 1.68
1024, 1702, 1.66
2048, 3390, 1.66
4096, 6756, 1.65
8192, 13518, 1.65
16384, 27010, 1.65
128, 442, 3.45
256, 442, 1.73
512, 864, 1.69
1024, 1702, 1.66
2048, 3392, 1.66
4096, 6762, 1.65
8192, 13516, 1.65
16384, 27024, 1.65
128, 438, 3.42
256, 436, 1.70
512, 860, 1.68
1024, 1702, 1.66
2048, 3402, 1.66
4096, 6754, 1.65
8192, 13504, 1.65
16384, 27040, 1.65
128, 440, 3.44
256, 438, 1.71
512, 862, 1.68
1024, 1702, 1.66
2048, 3388, 1.65
4096, 6758, 1.65
8192, 13500, 1.65
16384, 27016, 1.65
128, 440, 3.44
256, 440, 1.72
512, 864, 1.69
1024, 1704, 1.66
2048, 3398, 1.66
4096, 6766, 1.65
8192, 13490, 1.65
16384, 27014, 1.65
128, 440, 3.44
256, 438, 1.71
512, 862, 1.68
1024, 1704, 1.66
2048, 3398, 1.66
4096, 6758, 1.65
8192, 13516, 1.65
16384, 27014, 1.65
128, 440, 3.44
256, 436, 1.70
512, 860, 1.68
1024, 1698, 1.66
2048, 3390, 1.66
4096, 6748, 1.65
8192, 13522, 1.65
16384, 27020, 1.65
