128, 444, 3.47
256, 448, 1.75
512, 446, 0.87
1024, 874, 0.85
2048, 1734, 0.85
4096, 3454, 0.84
8192, 6898, 0.84
16384, 13782, 0.84
128, 444, 3.47
256, 444, 1.73
512, 446, 0.87
1024, 874, 0.85
2048, 1736, 0.85
4096, 3458, 0.84
8192, 6902, 0.84
16384, 13784, 0.84
128, 444, 3.47
256, 448, 1.75
512, 448, 0.88
1024, 874, 0.85
2048, 1734, 0.85
4096, 3454, 0.84
8192, 6900, 0.84
16384, 13786, 0.84
128, 446, 3.48
256, 448, 1.75
512, 448, 0.88
1024, 876, 0.86
2048, 1736, 0.85
4096, 3458, 0.84
8192, 6908, 0.84
16384, 13794, 0.84
128, 446, 3.48
256, 444, 1.73
512, 446, 0.87
1024, 874, 0.85
2048, 1734, 0.85
4096, 3458, 0.84
8192, 6896, 0.84
16384, 13804, 0.84
128, 444, 3.47
256, 446, 1.74
512, 446, 0.87
1024, 872, 0.85
2048, 1732, 0.85
4096, 3458, 0.84
8192, 6898, 0.84
16384, 13782, 0.84
128, 446, 3.48
256, 448, 1.75
512, 448, 0.88
1024, 874, 0.85
2048, 1730, 0.84
4096, 3458, 0.84
8192, 6892, 0.84
16384, 13796, 0.84
128, 444, 3.47
256, 448, 1.75
512, 448, 0.88
1024, 874, 0.85
2048, 1732, 0.85
4096, 3460, 0.84
8192, 6898, 0.84
16384, 13782, 0.84
128, 444, 3.47
256, 448, 1.75
512, 448, 0.88
1024, 874, 0.85
2048, 1734, 0.85
4096, 3456, 0.84
8192, 6906, 0.84
16384, 13794, 0.84
128, 446, 3.48
256, 448, 1.75
512, 446, 0.87
1024, 874, 0.85
2048, 1734, 0.85
4096, 3456, 0.84
8192, 6890, 0.84
16384, 13776, 0.84
128, 444, 3.47
256, 448, 1.75
512, 446, 0.87
1024, 874, 0.85
2048, 1734, 0.85
4096, 3460, 0.84
8192, 6904, 0.84
16384, 13780, 0.84
