128, 486, 3.80
256, 958, 3.74
512, 1868, 3.65
1024, 3700, 3.61
2048, 7392, 3.61
4096, 14782, 3.61
8192, 29632, 3.62
16384, 58832, 3.59
128, 488, 3.81
256, 950, 3.71
512, 1866, 3.64
1024, 3696, 3.61
2048, 7392, 3.61
4096, 14818, 3.62
8192, 29474, 3.60
16384, 58796, 3.59
128, 488, 3.81
256, 996, 3.89
512, 1916, 3.74
1024, 3728, 3.64
2048, 7410, 3.62
4096, 14760, 3.60
8192, 29426, 3.59
16384, 58836, 3.59
128, 488, 3.81
256, 950, 3.71
512, 1872, 3.66
1024, 3736, 3.65
2048, 7368, 3.60
4096, 14764, 3.60
8192, 29446, 3.59
16384, 58976, 3.60
128, 488, 3.81
256, 950, 3.71
512, 1870, 3.65
1024, 3740, 3.65
2048, 7378, 3.60
4096, 14772, 3.61
8192, 29466, 3.60
16384, 58800, 3.59
128, 488, 3.81
256, 946, 3.70
512, 1868, 3.65
1024, 3764, 3.68
2048, 7430, 3.63
4096, 14792, 3.61
8192, 29438, 3.59
16384, 58822, 3.59
128, 488, 3.81
256, 948, 3.70
512, 1878, 3.67
1024, 3728, 3.64
2048, 7434, 3.63
4096, 14768, 3.61
8192, 29450, 3.59
16384, 58858, 3.59
128, 488, 3.81
256, 950, 3.71
512, 1896, 3.70
1024, 3720, 3.63
2048, 7406, 3.62
4096, 14782, 3.61
8192, 29470, 3.60
16384, 58798, 3.59
128, 488, 3.81
256, 948, 3.70
512, 1872, 3.66
1024, 3734, 3.65
2048, 7388, 3.61
4096, 14792, 3.61
8192, 29456, 3.60
16384, 58820, 3.59
128, 488, 3.81
256, 948, 3.70
512, 1886, 3.68
1024, 3732, 3.64
2048, 7418, 3.62
4096, 14778, 3.61
8192, 29424, 3.59
16384, 58810, 3.59
128, 488, 3.81
256, 958, 3.74
512, 1878, 3.67
1024, 3730, 3.64
2048, 7404, 3.62
4096, 14768, 3.61
8192, 29444, 3.59
16384, 58806, 3.59
