128, 772, 6.03
256, 1522, 5.95
512, 2988, 5.84
1024, 5968, 5.83
2048, 11954, 5.84
4096, 23750, 5.80
8192, 47424, 5.79
16384, 94754, 5.78
128, 770, 6.02
256, 1514, 5.91
512, 2988, 5.84
1024, 5956, 5.82
2048, 11938, 5.83
4096, 23782, 5.81
8192, 47396, 5.79
16384, 94770, 5.78
128, 772, 6.03
256, 1512, 5.91
512, 2998, 5.86
1024, 5962, 5.82
2048, 11942, 5.83
4096, 23754, 5.80
8192, 47436, 5.79
16384, 94736, 5.78
128, 770, 6.02
256, 1512, 5.91
512, 3002, 5.86
1024, 5970, 5.83
2048, 11932, 5.83
4096, 23768, 5.80
8192, 47370, 5.78
16384, 94756, 5.78
128, 770, 6.02
256, 1518, 5.93
512, 2994, 5.85
1024, 5988, 5.85
2048, 11952, 5.84
4096, 23754, 5.80
8192, 47390, 5.78
16384, 94752, 5.78
128, 770, 6.02
256, 1510, 5.90
512, 2984, 5.83
1024, 5984, 5.84
2048, 11942, 5.83
4096, 23778, 5.81
8192, 47410, 5.79
16384, 94728, 5.78
128, 774, 6.05
256, 1510, 5.90
512, 3000, 5.86
1024, 5970, 5.83
2048, 11940, 5.83
4096, 23780, 5.81
8192, 47384, 5.78
16384, 94754, 5.78
128, 770, 6.02
256, 1510, 5.90
512, 2992, 5.84
1024, 5974, 5.83
2048, 11956, 5.84
4096, 23778, 5.81
8192, 47420, 5.79
16384, 94772, 5.78
128, 770, 6.02
256, 1514, 5.91
512, 2994, 5.85
1024, 5974, 5.83
2048, 11946, 5.83
4096, 23756, 5.80
8192, 47398, 5.79
16384, 94742, 5.78
128, 774, 6.05
256, 1514, 5.91
512, 2996, 5.85
1024, 5974, 5.83
2048, 11952, 5.84
4096, 23746, 5.80
8192, 47388, 5.78
16384, 94772, 5.78
128, 768, 6.00
256, 1514, 5.91
512, 2994, 5.85
1024, 5966, 5.83
2048, 11944, 5.83
4096, 23764, 5.80
8192, 47408, 5.79
16384, 94702, 5.78
