128, 1068, 8.34
256, 1070, 4.18
512, 1760, 3.44
1024, 3136, 3.06
2048, 5894, 2.88
4096, 11416, 2.79
8192, 22472, 2.74
16384, 44506, 2.72
128, 1070, 8.36
256, 1068, 4.17
512, 1760, 3.44
1024, 3138, 3.06
2048, 5894, 2.88
4096, 11428, 2.79
8192, 22458, 2.74
16384, 44500, 2.72
128, 1070, 8.36
256, 1070, 4.18
512, 1760, 3.44
1024, 3136, 3.06
2048, 5890, 2.88
4096, 11412, 2.79
8192, 22448, 2.74
16384, 44532, 2.72
128, 1068, 8.34
256, 1068, 4.17
512, 1760, 3.44
1024, 3134, 3.06
2048, 5892, 2.88
4096, 11416, 2.79
8192, 22452, 2.74
16384, 44516, 2.72
128, 1070, 8.36
256, 1068, 4.17
512, 1758, 3.43
1024, 3136, 3.06
2048, 5892, 2.88
4096, 11414, 2.79
8192, 22440, 2.74
16384, 44544, 2.72
128, 1070, 8.36
256, 1068, 4.17
512, 1760, 3.44
1024, 3136, 3.06
2048, 5888, 2.88
4096, 11432, 2.79
8192, 22464, 2.74
16384, 44488, 2.72
128, 1068, 8.34
256, 1068, 4.17
512, 1760, 3.44
1024, 3134, 3.06
2048, 5894, 2.88
4096, 11426, 2.79
8192, 22472, 2.74
16384, 44552, 2.72
128, 1068, 8.34
256, 1068, 4.17
512, 1760, 3.44
1024, 3136, 3.06
2048, 5898, 2.88
4096, 11428, 2.79
8192, 22470, 2.74
16384, 44500, 2.72
128, 1068, 8.34
256, 1068, 4.17
512, 1760, 3.44
1024, 3136, 3.06
2048, 5896, 2.88
4096, 11424, 2.79
8192, 22452, 2.74
16384, 44490, 2.72
128, 1068, 8.34
256, 1068, 4.17
512, 1760, 3.44
1024, 3136, 3.06
2048, 5900, 2.88
4096, 11424, 2.79
8192, 22454, 2.74
16384, 44526, 2.72
128, 1068, 8.34
256, 1068, 4.17
512, 1760, 3.44
1024, 3138, 3.06
2048, 5896, 2.88
4096, 11424, 2.79
8192, 22476, 2.74
16384, 44556, 2.72
