128, 1080, 8.44
256, 1082, 4.23
512, 1082, 2.11
1024, 1778, 1.74
2048, 3178, 1.55
4096, 5986, 1.46
8192, 11570, 1.41
16384, 22792, 1.39
128, 1080, 8.44
256, 1082, 4.23
512, 1084, 2.12
1024, 1780, 1.74
2048, 3182, 1.55
4096, 5978, 1.46
8192, 11580, 1.41
16384, 22774, 1.39
128, 1080, 8.44
256, 1082, 4.23
512, 1082, 2.11
1024, 1780, 1.74
2048, 3182, 1.55
4096, 5976, 1.46
8192, 11578, 1.41
16384, 22790, 1.39
128, 1080, 8.44
256, 1084, 4.23
512, 1080, 2.11
1024, 1780, 1.74
2048, 3180, 1.55
4096, 5974, 1.46
8192, 11568, 1.41
16384, 22788, 1.39
128, 1080, 8.44
256, 1084, 4.23
512, 1082, 2.11
1024, 1778, 1.74
2048, 3182, 1.55
4096, 5976, 1.46
8192, 11572, 1.41
16384, 22776, 1.39
128, 1080, 8.44
256, 1082, 4.23
512, 1080, 2.11
1024, 1778, 1.74
2048, 3178, 1.55
4096, 5976, 1.46
8192, 11580, 1.41
16384, 22782, 1.39
128, 1080, 8.44
256, 1082, 4.23
512, 1080, 2.11
1024, 1778, 1.74
2048, 3178, 1.55
4096, 5978, 1.46
8192, 11586, 1.41
16384, 22772, 1.39
128, 1080, 8.44
256, 1084, 4.23
512, 1080, 2.11
1024, 1776, 1.73
2048, 3178, 1.55
4096, 5978, 1.46
8192, 11570, 1.41
16384, 22786, 1.39
128, 1080, 8.44
256, 1082, 4.23
512, 1080, 2.11
1024, 1780, 1.74
2048, 3178, 1.55
4096, 5982, 1.46
8192, 11570, 1.41
16384, 22786, 1.39
128, 1080, 8.44
256, 1082, 4.23
512, 1082, 2.11
1024, 1778, 1.74
2048, 3184, 1.55
4096, 5974, 1.46
8192, 11570, 1.41
16384, 22776, 1.39
128, 1080, 8.44
256, 1082, 4.23
512, 1080, 2.11
1024, 1778, 1.74
2048, 3184, 1.55
4096, 5978, 1.46
8192, 11568, 1.41
16384, 22790, 1.39
