128, 1076, 8.41
256, 1078, 4.21
512, 1084, 2.12
1024, 1788, 1.75
2048, 3198, 1.56
4096, 6014, 1.47
8192, 11632, 1.42
16384, 22904, 1.40
128, 1074, 8.39
256, 1078, 4.21
512, 1082, 2.11
1024, 1790, 1.75
2048, 3192, 1.56
4096, 6012, 1.47
8192, 11638, 1.42
16384, 22904, 1.40
128, 1074, 8.39
256, 1078, 4.21
512, 1086, 2.12
1024, 1786, 1.74
2048, 3194, 1.56
4096, 6016, 1.47
8192, 11634, 1.42
16384, 22908, 1.40
128, 1078, 8.42
256, 1078, 4.21
512, 1086, 2.12
1024, 1790, 1.75
2048, 3194, 1.56
4096, 6010, 1.47
8192, 11644, 1.42
16384, 22912, 1.40
128, 1076, 8.41
256, 1078, 4.21
512, 1084, 2.12
1024, 1786, 1.74
2048, 3194, 1.56
4096, 6014, 1.47
8192, 11640, 1.42
16384, 22904, 1.40
128, 1074, 8.39
256, 1078, 4.21
512, 1088, 2.12
1024, 1790, 1.75
2048, 3194, 1.56
4096, 6010, 1.47
8192, 11644, 1.42
16384, 22912, 1.40
128, 1072, 8.38
256, 1078, 4.21
512, 1084, 2.12
1024, 1786, 1.74
2048, 3190, 1.56
4096, 6010, 1.47
8192, 11634, 1.42
16384, 22914, 1.40
128, 1078, 8.42
256, 1076, 4.20
512, 1084, 2.12
1024, 1790, 1.75
2048, 3192, 1.56
4096, 6014, 1.47
8192, 11634, 1.42
16384, 22904, 1.40
128, 1074, 8.39
256, 1078, 4.21
512, 1088, 2.12
1024, 1790, 1.75
2048, 3194, 1.56
4096, 6016, 1.47
8192, 11636, 1.42
16384, 22920, 1.40
128, 1076, 8.41
256, 1078, 4.21
512, 1088, 2.12
1024, 1790, 1.75
2048, 3196, 1.56
4096, 6008, 1.47
8192, 11642, 1.42
16384, 22918, 1.40
128, 1074, 8.39
256, 1078, 4.21
512, 1088, 2.12
1024, 1788, 1.75
2048, 3198, 1.56
4096, 6014, 1.47
8192, 11642, 1.42
16384, 22910, 1.40
