128, 1072, 8.38
256, 1074, 4.20
512, 1766, 3.45
1024, 3148, 3.07
2048, 5910, 2.89
4096, 11448, 2.79
8192, 22536, 2.75
16384, 44656, 2.73
128, 1072, 8.38
256, 1072, 4.19
512, 1766, 3.45
1024, 3146, 3.07
2048, 5916, 2.89
4096, 11448, 2.79
8192, 22538, 2.75
16384, 44662, 2.73
128, 1072, 8.38
256, 1074, 4.20
512, 1766, 3.45
1024, 3146, 3.07
2048, 5914, 2.89
4096, 11450, 2.80
8192, 22534, 2.75
16384, 44658, 2.73
128, 1072, 8.38
256, 1074, 4.20
512, 1766, 3.45
1024, 3148, 3.07
2048, 5912, 2.89
4096, 11448, 2.79
8192, 22536, 2.75
16384, 44656, 2.73
128, 1072, 8.38
256, 1074, 4.20
512, 1766, 3.45
1024, 3146, 3.07
2048, 5914, 2.89
4096, 11452, 2.80
8192, 22534, 2.75
16384, 44654, 2.73
128, 1072, 8.38
256, 1074, 4.20
512, 1766, 3.45
1024, 3148, 3.07
2048, 5914, 2.89
4096, 11450, 2.80
8192, 22540, 2.75
16384, 44654, 2.73
128, 1074, 8.39
256, 1074, 4.20
512, 1768, 3.45
1024, 3148, 3.07
2048, 5914, 2.89
4096, 11450, 2.80
8192, 22532, 2.75
16384, 44662, 2.73
128, 1072, 8.38
256, 1074, 4.20
512, 1766, 3.45
1024, 3148, 3.07
2048, 5912, 2.89
4096, 11452, 2.80
8192, 22532, 2.75
16384, 44662, 2.73
128, 1072, 8.38
256, 1072, 4.19
512, 1766, 3.45
1024, 3148, 3.07
2048, 5916, 2.89
4096, 11446, 2.79
8192, 22534, 2.75
16384, 44658, 2.73
128, 1070, 8.36
256, 1072, 4.19
512, 1766, 3.45
1024, 3148, 3.07
2048, 5912, 2.89
4096, 11448, 2.79
8192, 22534, 2.75
16384, 44668, 2.73
128, 1072, 8.38
256, 1074, 4.20
512, 1766, 3.45
1024, 3146, 3.07
2048, 5914, 2.89
4096, 11452, 2.80
8192, 22532, 2.75
16384, 44658, 2.73
