128, 1126, 8.80
256, 1862, 7.27
512, 3352, 6.55
1024, 6330, 6.18
2048, 12232, 5.97
4096, 24142, 5.89
8192, 47818, 5.84
16384, 95094, 5.80
128, 1124, 8.78
256, 1870, 7.30
512, 3360, 6.56
1024, 6322, 6.17
2048, 12282, 6.00
4096, 24120, 5.89
8192, 47770, 5.83
16384, 95148, 5.81
128, 1122, 8.77
256, 1862, 7.27
512, 3354, 6.55
1024, 6314, 6.17
2048, 12284, 6.00
4096, 24128, 5.89
8192, 47740, 5.83
16384, 95220, 5.81
128, 1120, 8.75
256, 1866, 7.29
512, 3350, 6.54
1024, 6328, 6.18
2048, 12312, 6.01
4096, 24140, 5.89
8192, 47790, 5.83
16384, 95260, 5.81
128, 1122, 8.77
256, 1872, 7.31
512, 3356, 6.55
1024, 6334, 6.19
2048, 12286, 6.00
4096, 24144, 5.89
8192, 47818, 5.84
16384, 95092, 5.80
128, 1122, 8.77
256, 1864, 7.28
512, 3360, 6.56
1024, 6324, 6.18
2048, 12284, 6.00
4096, 24150, 5.90
8192, 47790, 5.83
16384, 95128, 5.81
128, 1124, 8.78
256, 1868, 7.30
512, 3344, 6.53
1024, 6330, 6.18
2048, 12252, 5.98
4096, 24154, 5.90
8192, 47772, 5.83
16384, 95096, 5.80
128, 1120, 8.75
256, 1868, 7.30
512, 3356, 6.55
1024, 6308, 6.16
2048, 12264, 5.99
4096, 24140, 5.89
8192, 47724, 5.83
16384, 95024, 5.80
128, 1122, 8.77
256, 1860, 7.27
512, 3358, 6.56
1024, 6334, 6.19
2048, 12300, 6.01
4096, 24120, 5.89
8192, 47762, 5.83
16384, 95120, 5.81
128, 1124, 8.78
256, 1868, 7.30
512, 3354, 6.55
1024, 6316, 6.17
2048, 12262, 5.99
4096, 24156, 5.90
8192, 47812, 5.84
16384, 94978, 5.80
128, 1126, 8.80
256, 1866, 7.29
512, 3352, 6.55
1024, 6312, 6.16
2048, 12268, 5.99
4096, 24140, 5.89
8192, 47838, 5.84
16384, 95090, 5.80
