128, 1158, 9.05
256, 1882, 7.35
512, 3382, 6.61
1024, 6382, 6.23
2048, 12394, 6.05
4096, 24370, 5.95
8192, 48284, 5.89
16384, 96032, 5.86
128, 1130, 8.83
256, 1880, 7.34
512, 3380, 6.60
1024, 6378, 6.23
2048, 12404, 6.06
4096, 24354, 5.95
8192, 48260, 5.89
16384, 96036, 5.86
128, 1130, 8.83
256, 1878, 7.34
512, 3386, 6.61
1024, 6384, 6.23
2048, 12390, 6.05
4096, 24388, 5.95
8192, 48232, 5.89
16384, 96010, 5.86
128, 1128, 8.81
256, 1880, 7.34
512, 3386, 6.61
1024, 6378, 6.23
2048, 12382, 6.05
4096, 24368, 5.95
8192, 48236, 5.89
16384, 96036, 5.86
128, 1130, 8.83
256, 1878, 7.34
512, 3386, 6.61
1024, 6378, 6.23
2048, 12370, 6.04
4096, 24358, 5.95
8192, 48260, 5.89
16384, 96024, 5.86
128, 1128, 8.81
256, 1882, 7.35
512, 3384, 6.61
1024, 6386, 6.24
2048, 12390, 6.05
4096, 24366, 5.95
8192, 48270, 5.89
16384, 96006, 5.86
128, 1130, 8.83
256, 1880, 7.34
512, 3386, 6.61
1024, 6382, 6.23
2048, 12384, 6.05
4096, 24376, 5.95
8192, 48244, 5.89
16384, 96058, 5.86
128, 1130, 8.83
256, 1880, 7.34
512, 3392, 6.62
1024, 6390, 6.24
2048, 12398, 6.05
4096, 24356, 5.95
8192, 48240, 5.89
16384, 95984, 5.86
128, 1130, 8.83
256, 1878, 7.34
512, 3382, 6.61
1024, 6384, 6.23
2048, 12384, 6.05
4096, 24366, 5.95
8192, 48254, 5.89
16384, 96024, 5.86
128, 1130, 8.83
256, 1882, 7.35
512, 3386, 6.61
1024, 6378, 6.23
2048, 12384, 6.05
4096, 24360, 5.95
8192, 48238, 5.89
16384, 96026, 5.86
128, 1132, 8.84
256, 1878, 7.34
512, 3384, 6.61
1024, 6380, 6.23
2048, 12376, 6.04
4096, 24356, 5.95
8192, 48232, 5.89
16384, 96000, 5.86
