128, 3212, 25.09
256, 5204, 20.33
512, 9132, 17.84
1024, 17048, 16.65
2048, 32838, 16.03
4096, 64328, 15.71
8192, 127368, 15.55
16384, 253388, 15.47
128, 3266, 25.52
256, 5184, 20.25
512, 9132, 17.84
1024, 17054, 16.65
2048, 32824, 16.03
4096, 64294, 15.70
8192, 127364, 15.55
16384, 253470, 15.47
128, 3204, 25.03
256, 5202, 20.32
512, 9148, 17.87
1024, 17042, 16.64
2048, 32828, 16.03
4096, 64316, 15.70
8192, 127382, 15.55
16384, 253396, 15.47
128, 3200, 25.00
256, 5200, 20.31
512, 9120, 17.81
1024, 17046, 16.65
2048, 32808, 16.02
4096, 64332, 15.71
8192, 127394, 15.55
16384, 253424, 15.47
128, 3204, 25.03
256, 5200, 20.31
512, 9146, 17.86
1024, 17056, 16.66
2048, 32820, 16.03
4096, 64322, 15.70
8192, 127420, 15.55
16384, 253466, 15.47
128, 3204, 25.03
256, 5204, 20.33
512, 9120, 17.81
1024, 17018, 16.62
2048, 32826, 16.03
4096, 64354, 15.71
8192, 127404, 15.55
16384, 253496, 15.47
128, 3238, 25.30
256, 5204, 20.33
512, 9148, 17.87
1024, 17034, 16.63
2048, 32824, 16.03
4096, 64304, 15.70
8192, 127356, 15.55
16384, 253440, 15.47
128, 3208, 25.06
256, 5212, 20.36
512, 9148, 17.87
1024, 17052, 16.65
2048, 32814, 16.02
4096, 64348, 15.71
8192, 127362, 15.55
16384, 253516, 15.47
128, 3204, 25.03
256, 5202, 20.32
512, 9152, 17.88
1024, 17060, 16.66
2048, 32814, 16.02
4096, 64294, 15.70
8192, 127334, 15.54
16384, 253450, 15.47
128, 3202, 25.02
256, 5194, 20.29
512, 9122, 17.82
1024, 17036, 16.64
2048, 32826, 16.03
4096, 64338, 15.71
8192, 127318, 15.54
16384, 253456, 15.47
128, 3206, 25.05
256, 5220, 20.39
512, 9146, 17.86
1024, 17036, 16.64
2048, 32814, 16.02
4096, 64326, 15.70
8192, 127366, 15.55
16384, 253472, 15.47
