128, 1194, 9.33
256, 2340, 9.14
512, 4624, 9.03
1024, 9198, 8.98
2048, 18356, 8.96
4096, 35476, 8.66
8192, 69836, 8.52
16384, 138482, 8.45
128, 1196, 9.34
256, 2338, 9.13
512, 4622, 9.03
1024, 9188, 8.97
2048, 18366, 8.97
4096, 35528, 8.67
8192, 69786, 8.52
16384, 138482, 8.45
128, 1194, 9.33
256, 2334, 9.12
512, 4624, 9.03
1024, 9180, 8.96
2048, 18364, 8.97
4096, 35520, 8.67
8192, 69842, 8.53
16384, 138376, 8.45
128, 1196, 9.34
256, 2336, 9.12
512, 4622, 9.03
1024, 9188, 8.97
2048, 18380, 8.97
4096, 35494, 8.67
8192, 69812, 8.52
16384, 138424, 8.45
128, 1192, 9.31
256, 2336, 9.12
512, 4618, 9.02
1024, 9180, 8.96
2048, 18366, 8.97
4096, 35524, 8.67
8192, 69844, 8.53
16384, 138454, 8.45
128, 1194, 9.33
256, 2338, 9.13
512, 4616, 9.02
1024, 9176, 8.96
2048, 18362, 8.97
4096, 35506, 8.67
8192, 69864, 8.53
16384, 138458, 8.45
128, 1192, 9.31
256, 2342, 9.15
512, 4620, 9.02
1024, 9178, 8.96
2048, 18364, 8.97
4096, 35510, 8.67
8192, 69852, 8.53
16384, 138438, 8.45
128, 1198, 9.36
256, 2338, 9.13
512, 4622, 9.03
1024, 9182, 8.97
2048, 18368, 8.97
4096, 35536, 8.68
8192, 69798, 8.52
16384, 138480, 8.45
128, 1196, 9.34
256, 2338, 9.13
512, 4622, 9.03
1024, 9190, 8.97
2048, 18368, 8.97
4096, 35500, 8.67
8192, 69804, 8.52
16384, 138408, 8.45
128, 1192, 9.31
256, 2336, 9.12
512, 4622, 9.03
1024, 9198, 8.98
2048, 18370, 8.97
4096, 35490, 8.66
8192, 69800, 8.52
16384, 138448, 8.45
128, 1194, 9.33
256, 2338, 9.13
512, 4616, 9.02
1024, 9178, 8.96
2048, 18360, 8.96
4096, 35536, 8.68
8192, 69874, 8.53
16384, 138448, 8.45
