128, 142, 1.11
256, 306, 1.20
512, 582, 1.14
1024, 1030, 1.01
2048, 1920, 0.94
4096, 3664, 0.89
8192, 7184, 0.88
16384, 14208, 0.87
128, 140, 1.09
256, 306, 1.20
512, 582, 1.14
1024, 1032, 1.01
2048, 1906, 0.93
4096, 3666, 0.90
8192, 7170, 0.88
16384, 14224, 0.87
128, 140, 1.09
256, 272, 1.06
512, 582, 1.14
1024, 1034, 1.01
2048, 1918, 0.94
4096, 3660, 0.89
8192, 7166, 0.87
16384, 14198, 0.87
128, 140, 1.09
256, 272, 1.06
512, 582, 1.14
1024, 1030, 1.01
2048, 1910, 0.93
4096, 3660, 0.89
8192, 7182, 0.88
16384, 14200, 0.87
128, 140, 1.09
256, 308, 1.20
512, 582, 1.14
1024, 1032, 1.01
2048, 1906, 0.93
4096, 3660, 0.89
8192, 7188, 0.88
16384, 14224, 0.87
128, 140, 1.09
256, 274, 1.07
512, 582, 1.14
1024, 1030, 1.01
2048, 1910, 0.93
4096, 3662, 0.89
8192, 7216, 0.88
16384, 14230, 0.87
128, 142, 1.11
256, 306, 1.20
512, 582, 1.14
1024, 1030, 1.01
2048, 1910, 0.93
4096, 3662, 0.89
8192, 7160, 0.87
16384, 14210, 0.87
128, 140, 1.09
256, 274, 1.07
512, 582, 1.14
1024, 1032, 1.01
2048, 1910, 0.93
4096, 3678, 0.90
8192, 7194, 0.88
16384, 14182, 0.87
128, 140, 1.09
256, 272, 1.06
512, 582, 1.14
1024, 1034, 1.01
2048, 1906, 0.93
4096, 3660, 0.89
8192, 7186, 0.88
16384, 14250, 0.87
128, 140, 1.09
256, 272, 1.06
512, 582, 1.14
1024, 1030, 1.01
2048, 1914, 0.93
4096, 3662, 0.89
8192, 7168, 0.88
16384, 14180, 0.87
128, 140, 1.09
256, 272, 1.06
512, 582, 1.14
1024, 1032, 1.01
2048, 1914, 0.93
4096, 3658, 0.89
8192, 7176, 0.88
16384, 14168, 0.86
