128, 142, 1.11
256, 258, 1.01
512, 396, 0.77
1024, 670, 0.65
2048, 1226, 0.60
4096, 2328, 0.57
8192, 4536, 0.55
16384, 8944, 0.55
128, 142, 1.11
256, 256, 1.00
512, 394, 0.77
1024, 670, 0.65
2048, 1224, 0.60
4096, 2328, 0.57
8192, 4530, 0.55
16384, 8952, 0.55
128, 142, 1.11
256, 258, 1.01
512, 396, 0.77
1024, 672, 0.66
2048, 1224, 0.60
4096, 2330, 0.57
8192, 4534, 0.55
16384, 8946, 0.55
128, 140, 1.09
256, 258, 1.01
512, 398, 0.78
1024, 674, 0.66
2048, 1222, 0.60
4096, 2320, 0.57
8192, 4532, 0.55
16384, 8948, 0.55
128, 140, 1.09
256, 256, 1.00
512, 396, 0.77
1024, 672, 0.66
2048, 1224, 0.60
4096, 2330, 0.57
8192, 4536, 0.55
16384, 8948, 0.55
128, 142, 1.11
256, 258, 1.01
512, 396, 0.77
1024, 672, 0.66
2048, 1222, 0.60
4096, 2326, 0.57
8192, 4530, 0.55
16384, 8954, 0.55
128, 142, 1.11
256, 258, 1.01
512, 396, 0.77
1024, 672, 0.66
2048, 1224, 0.60
4096, 2328, 0.57
8192, 4534, 0.55
16384, 8948, 0.55
128, 140, 1.09
256, 256, 1.00
512, 394, 0.77
1024, 670, 0.65
2048, 1222, 0.60
4096, 2326, 0.57
8192, 4534, 0.55
16384, 8942, 0.55
128, 142, 1.11
256, 258, 1.01
512, 396, 0.77
1024, 672, 0.66
2048, 1224, 0.60
4096, 2328, 0.57
8192, 4536, 0.55
16384, 8946, 0.55
128, 142, 1.11
256, 258, 1.01
512, 396, 0.77
1024, 672, 0.66
2048, 1222, 0.60
4096, 2324, 0.57
8192, 4534, 0.55
16384, 8942, 0.55
128, 142, 1.11
256, 256, 1.00
512, 398, 0.78
1024, 672, 0.66
2048, 1220, 0.60
4096, 2324, 0.57
8192, 4534, 0.55
16384, 8950, 0.55
