128, 146, 1.14
256, 278, 1.09
512, 576, 1.12
1024, 1036, 1.01
2048, 1918, 0.94
4096, 3676, 0.90
8192, 7194, 0.88
16384, 14248, 0.87
128, 144, 1.12
256, 280, 1.09
512, 580, 1.13
1024, 1036, 1.01
2048, 1920, 0.94
4096, 3680, 0.90
8192, 7204, 0.88
16384, 14242, 0.87
128, 144, 1.12
256, 280, 1.09
512, 578, 1.13
1024, 1038, 1.01
2048, 1914, 0.93
4096, 3680, 0.90
8192, 7196, 0.88
16384, 14238, 0.87
128, 146, 1.14
256, 280, 1.09
512, 578, 1.13
1024, 1038, 1.01
2048, 1920, 0.94
4096, 3674, 0.90
8192, 7198, 0.88
16384, 14240, 0.87
128, 146, 1.14
256, 280, 1.09
512, 578, 1.13
1024, 1036, 1.01
2048, 1916, 0.94
4096, 3676, 0.90
8192, 7202, 0.88
16384, 14234, 0.87
128, 146, 1.14
256, 280, 1.09
512, 578, 1.13
1024, 1036, 1.01
2048, 1916, 0.94
4096, 3682, 0.90
8192, 7206, 0.88
16384, 14236, 0.87
128, 146, 1.14
256, 280, 1.09
512, 578, 1.13
1024, 1036, 1.01
2048, 1920, 0.94
4096, 3678, 0.90
8192, 7208, 0.88
16384, 14246, 0.87
128, 146, 1.14
256, 280, 1.09
512, 578, 1.13
1024, 1038, 1.01
2048, 1920, 0.94
4096, 3674, 0.90
8192, 7194, 0.88
16384, 14242, 0.87
128, 146, 1.14
256, 278, 1.09
512, 578, 1.13
1024, 1038, 1.01
2048, 1922, 0.94
4096, 3678, 0.90
8192, 7200, 0.88
16384, 14248, 0.87
128, 144, 1.12
256, 280, 1.09
512, 578, 1.13
1024, 1036, 1.01
2048, 1914, 0.93
4096, 3678, 0.90
8192, 7204, 0.88
16384, 14240, 0.87
128, 146, 1.14
256, 280, 1.09
512, 580, 1.13
1024, 1036, 1.01
2048, 1920, 0.94
4096, 3674, 0.90
8192, 7196, 0.88
16384, 14242, 0.87
