128, 142, 1.11
256, 276, 1.08
512, 582, 1.14
1024, 1132, 1.11
2048, 2222, 1.08
4096, 4410, 1.08
8192, 8792, 1.07
16384, 17550, 1.07
128, 140, 1.09
256, 306, 1.20
512, 584, 1.14
1024, 1130, 1.10
2048, 2226, 1.09
4096, 4414, 1.08
8192, 8792, 1.07
16384, 17550, 1.07
128, 142, 1.11
256, 302, 1.18
512, 576, 1.12
1024, 1130, 1.10
2048, 2226, 1.09
4096, 4414, 1.08
8192, 8790, 1.07
16384, 17548, 1.07
128, 142, 1.11
256, 310, 1.21
512, 582, 1.14
1024, 1132, 1.11
2048, 2226, 1.09
4096, 4414, 1.08
8192, 8792, 1.07
16384, 17548, 1.07
128, 140, 1.09
256, 310, 1.21
512, 584, 1.14
1024, 1130, 1.10
2048, 2226, 1.09
4096, 4414, 1.08
8192, 8790, 1.07
16384, 17548, 1.07
128, 140, 1.09
256, 308, 1.20
512, 582, 1.14
1024, 1124, 1.10
2048, 2224, 1.09
4096, 4416, 1.08
8192, 8792, 1.07
16384, 17550, 1.07
128, 142, 1.11
256, 310, 1.21
512, 578, 1.13
1024, 1124, 1.10
2048, 2220, 1.08
4096, 4416, 1.08
8192, 8794, 1.07
16384, 17550, 1.07
128, 142, 1.11
256, 310, 1.21
512, 582, 1.14
1024, 1124, 1.10
2048, 2224, 1.09
4096, 4414, 1.08
8192, 8792, 1.07
16384, 17548, 1.07
128, 142, 1.11
256, 310, 1.21
512, 584, 1.14
1024, 1130, 1.10
2048, 2226, 1.09
4096, 4412, 1.08
8192, 8794, 1.07
16384, 17550, 1.07
128, 142, 1.11
256, 304, 1.19
512, 578, 1.13
1024, 1132, 1.11
2048, 2226, 1.09
4096, 4414, 1.08
8192, 8790, 1.07
16384, 17548, 1.07
128, 142, 1.11
256, 304, 1.19
512, 584, 1.14
1024, 1124, 1.10
2048, 2224, 1.09
4096, 4412, 1.08
8192, 8792, 1.07
16384, 17548, 1.07
