128, 144, 1.12
256, 278, 1.09
512, 584, 1.14
1024, 1126, 1.10
2048, 2222, 1.08
4096, 4412, 1.08
8192, 8790, 1.07
16384, 17546, 1.07
128, 144, 1.12
256, 278, 1.09
512, 578, 1.13
1024, 1130, 1.10
2048, 2224, 1.09
4096, 4412, 1.08
8192, 8790, 1.07
16384, 17548, 1.07
128, 144, 1.12
256, 280, 1.09
512, 578, 1.13
1024, 1124, 1.10
2048, 2224, 1.09
4096, 4410, 1.08
8192, 8790, 1.07
16384, 17550, 1.07
128, 144, 1.12
256, 278, 1.09
512, 578, 1.13
1024, 1126, 1.10
2048, 2220, 1.08
4096, 4412, 1.08
8192, 8790, 1.07
16384, 17548, 1.07
128, 144, 1.12
256, 278, 1.09
512, 584, 1.14
1024, 1126, 1.10
2048, 2220, 1.08
4096, 4410, 1.08
8192, 8790, 1.07
16384, 17548, 1.07
128, 144, 1.12
256, 278, 1.09
512, 578, 1.13
1024, 1132, 1.11
2048, 2226, 1.09
4096, 4412, 1.08
8192, 8792, 1.07
16384, 17548, 1.07
128, 144, 1.12
256, 276, 1.08
512, 584, 1.14
1024, 1132, 1.11
2048, 2226, 1.09
4096, 4412, 1.08
8192, 8790, 1.07
16384, 17548, 1.07
128, 144, 1.12
256, 278, 1.09
512, 584, 1.14
1024, 1132, 1.11
2048, 2222, 1.08
4096, 4410, 1.08
8192, 8790, 1.07
16384, 17546, 1.07
128, 144, 1.12
256, 278, 1.09
512, 584, 1.14
1024, 1132, 1.11
2048, 2220, 1.08
4096, 4410, 1.08
8192, 8790, 1.07
16384, 17548, 1.07
128, 144, 1.12
256, 278, 1.09
512, 584, 1.14
1024, 1126, 1.10
2048, 2226, 1.09
4096, 4412, 1.08
8192, 8792, 1.07
16384, 17548, 1.07
128, 144, 1.12
256, 278, 1.09
512, 584, 1.14
1024, 1126, 1.10
2048, 2226, 1.09
4096, 4410, 1.08
8192, 8792, 1.07
16384, 17548, 1.07
