128, 1204, 9.41
256, 2018, 7.88
512, 3014, 5.89
1024, 4848, 4.73
2048, 8490, 4.15
4096, 15770, 3.85
8192, 30350, 3.70
16384, 59480, 3.63
128, 1204, 9.41
256, 2018, 7.88
512, 3012, 5.88
1024, 4850, 4.74
2048, 8484, 4.14
4096, 15776, 3.85
8192, 30346, 3.70
16384, 59486, 3.63
128, 1204, 9.41
256, 2018, 7.88
512, 3016, 5.89
1024, 4848, 4.73
2048, 8490, 4.15
4096, 15768, 3.85
8192, 30356, 3.71
16384, 59476, 3.63
128, 1204, 9.41
256, 2018, 7.88
512, 3012, 5.88
1024, 4850, 4.74
2048, 8488, 4.14
4096, 15770, 3.85
8192, 30348, 3.70
16384, 59478, 3.63
128, 1202, 9.39
256, 2018, 7.88
512, 3014, 5.89
1024, 4848, 4.73
2048, 8486, 4.14
4096, 15774, 3.85
8192, 30344, 3.70
16384, 59484, 3.63
128, 1202, 9.39
256, 2020, 7.89
512, 3016, 5.89
1024, 4848, 4.73
2048, 8492, 4.15
4096, 15778, 3.85
8192, 30344, 3.70
16384, 59480, 3.63
128, 1204, 9.41
256, 2018, 7.88
512, 3012, 5.88
1024, 4846, 4.73
2048, 8486, 4.14
4096, 15762, 3.85
8192, 30344, 3.70
16384, 59476, 3.63
128, 1204, 9.41
256, 2018, 7.88
512, 3014, 5.89
1024, 4848, 4.73
2048, 8490, 4.15
4096, 15772, 3.85
8192, 30344, 3.70
16384, 59464, 3.63
128, 1202, 9.39
256, 2020, 7.89
512, 3016, 5.89
1024, 4848, 4.73
2048, 8488, 4.14
4096, 15776, 3.85
8192, 30346, 3.70
16384, 59492, 3.63
128, 1204, 9.41
256, 2018, 7.88
512, 3012, 5.88
1024, 4854, 4.74
2048, 8488, 4.14
4096, 15766, 3.85
8192, 30344, 3.70
16384, 59470, 3.63
128, 1204, 9.41
256, 2020, 7.89
512, 3014, 5.89
1024, 4852, 4.74
2048, 8494, 4.15
4096, 15770, 3.85
8192, 30338, 3.70
16384, 59482, 3.63
