128, 1970, 15.39
256, 2096, 8.19
512, 2926, 5.71
1024, 3904, 3.81
2048, 5860, 2.86
4096, 9778, 2.39
8192, 17604, 2.15
16384, 33274, 2.03
128, 1970, 15.39
256, 2096, 8.19
512, 2924, 5.71
1024, 3904, 3.81
2048, 5860, 2.86
4096, 9776, 2.39
8192, 17608, 2.15
16384, 33272, 2.03
128, 1972, 15.41
256, 2094, 8.18
512, 2924, 5.71
1024, 3902, 3.81
2048, 5860, 2.86
4096, 9778, 2.39
8192, 17606, 2.15
16384, 33274, 2.03
128, 1968, 15.38
256, 2096, 8.19
512, 2926, 5.71
1024, 3904, 3.81
2048, 5862, 2.86
4096, 9778, 2.39
8192, 17606, 2.15
16384, 33272, 2.03
128, 1970, 15.39
256, 2094, 8.18
512, 2924, 5.71
1024, 3902, 3.81
2048, 5862, 2.86
4096, 9776, 2.39
8192, 17606, 2.15
16384, 33276, 2.03
128, 1968, 15.38
256, 2096, 8.19
512, 2924, 5.71
1024, 3904, 3.81
2048, 5860, 2.86
4096, 9776, 2.39
8192, 17608, 2.15
16384, 33276, 2.03
128, 1968, 15.38
256, 2096, 8.19
512, 2924, 5.71
1024, 3904, 3.81
2048, 5860, 2.86
4096, 9778, 2.39
8192, 17606, 2.15
16384, 33270, 2.03
128, 1970, 15.39
256, 2094, 8.18
512, 2924, 5.71
1024, 3904, 3.81
2048, 5862, 2.86
4096, 9778, 2.39
8192, 17604, 2.15
16384, 33278, 2.03
128, 1968, 15.38
256, 2096, 8.19
512, 2924, 5.71
1024, 3904, 3.81
2048, 5862, 2.86
4096, 9776, 2.39
8192, 17606, 2.15
16384, 33276, 2.03
128, 1968, 15.38
256, 2096, 8.19
512, 2924, 5.71
1024, 3904, 3.81
2048, 5860, 2.86
4096, 9776, 2.39
8192, 17604, 2.15
16384, 33274, 2.03
128, 1970, 15.39
256, 2096, 8.19
512, 2924, 5.71
1024, 3904, 3.81
2048, 5862, 2.86
4096, 9776, 2.39
8192, 17608, 2.15
16384, 33268, 2.03
