128, 898, 7.02
256, 1018, 3.98
512, 1154, 2.25
1024, 1432, 1.40
2048, 1984, 0.97
4096, 3092, 0.75
8192, 5308, 0.65
16384, 9738, 0.59
128, 898, 7.02
256, 1016, 3.97
512, 1150, 2.25
1024, 1428, 1.39
2048, 1988, 0.97
4096, 3092, 0.75
8192, 5308, 0.65
16384, 9736, 0.59
128, 898, 7.02
256, 1018, 3.98
512, 1152, 2.25
1024, 1434, 1.40
2048, 1984, 0.97
4096, 3092, 0.75
8192, 5306, 0.65
16384, 9738, 0.59
128, 896, 7.00
256, 1016, 3.97
512, 1156, 2.26
1024, 1430, 1.40
2048, 1984, 0.97
4096, 3094, 0.76
8192, 5302, 0.65
16384, 9736, 0.59
128, 898, 7.02
256, 1016, 3.97
512, 1154, 2.25
1024, 1430, 1.40
2048, 1984, 0.97
4096, 3090, 0.75
8192, 5306, 0.65
16384, 9734, 0.59
128, 896, 7.00
256, 1018, 3.98
512, 1156, 2.26
1024, 1430, 1.40
2048, 1986, 0.97
4096, 3092, 0.75
8192, 5306, 0.65
16384, 9736, 0.59
128, 898, 7.02
256, 1014, 3.96
512, 1156, 2.26
1024, 1434, 1.40
2048, 1984, 0.97
4096, 3094, 0.76
8192, 5308, 0.65
16384, 9738, 0.59
128, 896, 7.00
256, 1016, 3.97
512, 1154, 2.25
1024, 1432, 1.40
2048, 1984, 0.97
4096, 3092, 0.75
8192, 5306, 0.65
16384, 9738, 0.59
128, 898, 7.02
256, 1016, 3.97
512, 1152, 2.25
1024, 1432, 1.40
2048, 1984, 0.97
4096, 3092, 0.75
8192, 5304, 0.65
16384, 9738, 0.59
128, 894, 6.98
256, 1020, 3.98
512, 1154, 2.25
1024, 1434, 1.40
2048, 1984, 0.97
4096, 3092, 0.75
8192, 5306, 0.65
16384, 9736, 0.59
128, 896, 7.00
256, 1016, 3.97
512, 1154, 2.25
1024, 1432, 1.40
2048, 1984, 0.97
4096, 3088, 0.75
8192, 5308, 0.65
16384, 9738, 0.59
