128, 1962, 15.33
256, 2786, 10.88
512, 3766, 7.36
1024, 5618, 5.49
2048, 9260, 4.52
4096, 16552, 4.04
8192, 31146, 3.80
16384, 60320, 3.68
128, 1962, 15.33
256, 2796, 10.92
512, 3764, 7.35
1024, 5616, 5.48
2048, 9260, 4.52
4096, 16554, 4.04
8192, 31146, 3.80
16384, 60334, 3.68
128, 1964, 15.34
256, 2786, 10.88
512, 3762, 7.35
1024, 5618, 5.49
2048, 9260, 4.52
4096, 16552, 4.04
8192, 31152, 3.80
16384, 60348, 3.68
128, 1960, 15.31
256, 2782, 10.87
512, 3766, 7.36
1024, 5616, 5.48
2048, 9262, 4.52
4096, 16556, 4.04
8192, 31160, 3.80
16384, 60326, 3.68
128, 1962, 15.33
256, 2782, 10.87
512, 3762, 7.35
1024, 5616, 5.48
2048, 9260, 4.52
4096, 16554, 4.04
8192, 31146, 3.80
16384, 60330, 3.68
128, 1962, 15.33
256, 2800, 10.94
512, 3762, 7.35
1024, 5616, 5.48
2048, 9262, 4.52
4096, 16552, 4.04
8192, 31152, 3.80
16384, 60326, 3.68
128, 1962, 15.33
256, 2784, 10.88
512, 3762, 7.35
1024, 5616, 5.48
2048, 9264, 4.52
4096, 16554, 4.04
8192, 31156, 3.80
16384, 60330, 3.68
128, 1962, 15.33
256, 2784, 10.88
512, 3762, 7.35
1024, 5616, 5.48
2048, 9264, 4.52
4096, 16554, 4.04
8192, 31146, 3.80
16384, 60328, 3.68
128, 1960, 15.31
256, 2784, 10.88
512, 3762, 7.35
1024, 5618, 5.49
2048, 9264, 4.52
4096, 16552, 4.04
8192, 31152, 3.80
16384, 60332, 3.68
128, 1960, 15.31
256, 2784, 10.88
512, 3762, 7.35
1024, 5616, 5.48
2048, 9262, 4.52
4096, 16558, 4.04
8192, 31148, 3.80
16384, 60344, 3.68
128, 1962, 15.33
256, 2786, 10.88
512, 3762, 7.35
1024, 5618, 5.49
2048, 9262, 4.52
4096, 16552, 4.04
8192, 31150, 3.80
16384, 60344, 3.68
