128, 898, 7.02
256, 1034, 4.04
512, 1336, 2.61
1024, 1788, 1.75
2048, 2664, 1.30
4096, 4416, 1.08
8192, 7934, 0.97
16384, 14946, 0.91
128, 898, 7.02
256, 1060, 4.14
512, 1328, 2.59
1024, 1788, 1.75
2048, 2666, 1.30
4096, 4416, 1.08
8192, 7924, 0.97
16384, 14956, 0.91
128, 898, 7.02
256, 1030, 4.02
512, 1330, 2.60
1024, 1786, 1.74
2048, 2666, 1.30
4096, 4416, 1.08
8192, 7926, 0.97
16384, 14954, 0.91
128, 898, 7.02
256, 1030, 4.02
512, 1334, 2.61
1024, 1788, 1.75
2048, 2666, 1.30
4096, 4422, 1.08
8192, 7920, 0.97
16384, 14958, 0.91
128, 896, 7.00
256, 1058, 4.13
512, 1334, 2.61
1024, 1788, 1.75
2048, 2664, 1.30
4096, 4416, 1.08
8192, 7928, 0.97
16384, 14948, 0.91
128, 898, 7.02
256, 1054, 4.12
512, 1334, 2.61
1024, 1788, 1.75
2048, 2664, 1.30
4096, 4422, 1.08
8192, 7928, 0.97
16384, 14948, 0.91
128, 898, 7.02
256, 1034, 4.04
512, 1334, 2.61
1024, 1788, 1.75
2048, 2666, 1.30
4096, 4422, 1.08
8192, 7932, 0.97
16384, 14958, 0.91
128, 898, 7.02
256, 1052, 4.11
512, 1332, 2.60
1024, 1788, 1.75
2048, 2664, 1.30
4096, 4420, 1.08
8192, 7932, 0.97
16384, 14948, 0.91
128, 898, 7.02
256, 1032, 4.03
512, 1332, 2.60
1024, 1788, 1.75
2048, 2664, 1.30
4096, 4420, 1.08
8192, 7926, 0.97
16384, 14946, 0.91
128, 898, 7.02
256, 1032, 4.03
512, 1334, 2.61
1024, 1788, 1.75
2048, 2666, 1.30
4096, 4422, 1.08
8192, 7932, 0.97
16384, 14954, 0.91
128, 898, 7.02
256, 1034, 4.04
512, 1334, 2.61
1024, 1788, 1.75
2048, 2664, 1.30
4096, 4422, 1.08
8192, 7926, 0.97
16384, 14954, 0.91
