128, 1648, 12.88
256, 2536, 9.91
512, 4352, 8.50
1024, 7918, 7.73
2048, 15072, 7.36
4096, 29356, 7.17
8192, 57900, 7.07
16384, 114990, 7.02
128, 1648, 12.88
256, 2534, 9.90
512, 4346, 8.49
1024, 7918, 7.73
2048, 15074, 7.36
4096, 29352, 7.17
8192, 57902, 7.07
16384, 114982, 7.02
128, 1648, 12.88
256, 2566, 10.02
512, 4352, 8.50
1024, 7916, 7.73
2048, 15078, 7.36
4096, 29360, 7.17
8192, 57904, 7.07
16384, 114996, 7.02
128, 1648, 12.88
256, 2534, 9.90
512, 4346, 8.49
1024, 7916, 7.73
2048, 15072, 7.36
4096, 29350, 7.17
8192, 57896, 7.07
16384, 114986, 7.02
128, 1648, 12.88
256, 2536, 9.91
512, 4348, 8.49
1024, 7916, 7.73
2048, 15074, 7.36
4096, 29352, 7.17
8192, 57900, 7.07
16384, 114984, 7.02
128, 1646, 12.86
256, 2540, 9.92
512, 4344, 8.48
1024, 7918, 7.73
2048, 15074, 7.36
4096, 29364, 7.17
8192, 57894, 7.07
16384, 114986, 7.02
128, 1648, 12.88
256, 2536, 9.91
512, 4352, 8.50
1024, 7916, 7.73
2048, 15072, 7.36
4096, 29352, 7.17
8192, 57896, 7.07
16384, 114998, 7.02
128, 1646, 12.86
256, 2568, 10.03
512, 4354, 8.50
1024, 7914, 7.73
2048, 15068, 7.36
4096, 29354, 7.17
8192, 57902, 7.07
16384, 114990, 7.02
128, 1648, 12.88
256, 2568, 10.03
512, 4348, 8.49
1024, 7920, 7.73
2048, 15072, 7.36
4096, 29362, 7.17
8192, 57896, 7.07
16384, 114984, 7.02
128, 1646, 12.86
256, 2566, 10.02
512, 4348, 8.49
1024, 7912, 7.73
2048, 15074, 7.36
4096, 29358, 7.17
8192, 57900, 7.07
16384, 114990, 7.02
128, 1646, 12.86
256, 2568, 10.03
512, 4348, 8.49
1024, 7916, 7.73
2048, 15074, 7.36
4096, 29356, 7.17
8192, 57908, 7.07
16384, 114998, 7.02
