128, 2412, 18.84
256, 3300, 12.89
512, 5094, 9.95
1024, 8668, 8.46
2048, 15842, 7.74
4096, 30150, 7.36
8192, 58770, 7.17
16384, 115956, 7.08
128, 2410, 18.83
256, 3306, 12.91
512, 5096, 9.95
1024, 8666, 8.46
2048, 15846, 7.74
4096, 30154, 7.36
8192, 58754, 7.17
16384, 115948, 7.08
128, 2410, 18.83
256, 3310, 12.93
512, 5094, 9.95
1024, 8664, 8.46
2048, 15840, 7.73
4096, 30146, 7.36
8192, 58760, 7.17
16384, 115926, 7.08
128, 2414, 18.86
256, 3302, 12.90
512, 5092, 9.95
1024, 8666, 8.46
2048, 15830, 7.73
4096, 30136, 7.36
8192, 58736, 7.17
16384, 115940, 7.08
128, 2410, 18.83
256, 3304, 12.91
512, 5094, 9.95
1024, 8662, 8.46
2048, 15842, 7.74
4096, 30132, 7.36
8192, 58748, 7.17
16384, 115930, 7.08
128, 2410, 18.83
256, 3302, 12.90
512, 5094, 9.95
1024, 8666, 8.46
2048, 15844, 7.74
4096, 30142, 7.36
8192, 58746, 7.17
16384, 115928, 7.08
128, 2414, 18.86
256, 3300, 12.89
512, 5092, 9.95
1024, 8664, 8.46
2048, 15836, 7.73
4096, 30134, 7.36
8192, 58740, 7.17
16384, 115936, 7.08
128, 2412, 18.84
256, 3302, 12.90
512, 5090, 9.94
1024, 8664, 8.46
2048, 15832, 7.73
4096, 30148, 7.36
8192, 58740, 7.17
16384, 115914, 7.07
128, 2410, 18.83
256, 3300, 12.89
512, 5090, 9.94
1024, 8664, 8.46
2048, 15836, 7.73
4096, 30140, 7.36
8192, 58736, 7.17
16384, 115930, 7.08
128, 2412, 18.84
256, 3298, 12.88
512, 5090, 9.94
1024, 8668, 8.46
2048, 15838, 7.73
4096, 30152, 7.36
8192, 58764, 7.17
16384, 115934, 7.08
128, 2410, 18.83
256, 3308, 12.92
512, 5094, 9.95
1024, 8668, 8.46
2048, 15840, 7.73
4096, 30158, 7.36
8192, 58762, 7.17
16384, 115972, 7.08
