128, 894, 6.98
256, 1058, 4.13
512, 1332, 2.60
1024, 1878, 1.83
2048, 2972, 1.45
4096, 5162, 1.26
8192, 9544, 1.17
16384, 18298, 1.12
128, 894, 6.98
256, 1056, 4.12
512, 1332, 2.60
1024, 1880, 1.84
2048, 2974, 1.45
4096, 5162, 1.26
8192, 9540, 1.16
16384, 18298, 1.12
128, 894, 6.98
256, 1056, 4.12
512, 1332, 2.60
1024, 1880, 1.84
2048, 2972, 1.45
4096, 5162, 1.26
8192, 9542, 1.16
16384, 18296, 1.12
128, 896, 7.00
256, 1028, 4.02
512, 1334, 2.61
1024, 1878, 1.83
2048, 2974, 1.45
4096, 5162, 1.26
8192, 9540, 1.16
16384, 18298, 1.12
128, 894, 6.98
256, 1058, 4.13
512, 1332, 2.60
1024, 1878, 1.83
2048, 2974, 1.45
4096, 5160, 1.26
8192, 9542, 1.16
16384, 18298, 1.12
128, 894, 6.98
256, 1058, 4.13
512, 1332, 2.60
1024, 1878, 1.83
2048, 2972, 1.45
4096, 5162, 1.26
8192, 9540, 1.16
16384, 18298, 1.12
128, 896, 7.00
256, 1056, 4.12
512, 1330, 2.60
1024, 1878, 1.83
2048, 2974, 1.45
4096, 5160, 1.26
8192, 9542, 1.16
16384, 18298, 1.12
128, 896, 7.00
256, 1058, 4.13
512, 1330, 2.60
1024, 1876, 1.83
2048, 2972, 1.45
4096, 5164, 1.26
8192, 9542, 1.16
16384, 18298, 1.12
128, 896, 7.00
256, 1058, 4.13
512, 1332, 2.60
1024, 1880, 1.84
2048, 2974, 1.45
4096, 5164, 1.26
8192, 9540, 1.16
16384, 18296, 1.12
128, 894, 6.98
256, 1054, 4.12
512, 1330, 2.60
1024, 1880, 1.84
2048, 2974, 1.45
4096, 5164, 1.26
8192, 9542, 1.16
16384, 18298, 1.12
128, 894, 6.98
256, 1058, 4.13
512, 1328, 2.59
1024, 1876, 1.83
2048, 2974, 1.45
4096, 5160, 1.26
8192, 9540, 1.16
16384, 18300, 1.12
