128, 216, 1.69
256, 446, 1.74
512, 398, 0.78
1024, 766, 0.75
2048, 1512, 0.74
4096, 3008, 0.73
8192, 5992, 0.73
16384, 11970, 0.73
128, 216, 1.69
256, 446, 1.74
512, 398, 0.78
1024, 768, 0.75
2048, 1512, 0.74
4096, 3008, 0.73
8192, 5994, 0.73
16384, 11976, 0.73
128, 216, 1.69
256, 446, 1.74
512, 398, 0.78
1024, 766, 0.75
2048, 1510, 0.74
4096, 3008, 0.73
8192, 5994, 0.73
16384, 11976, 0.73
128, 216, 1.69
256, 446, 1.74
512, 398, 0.78
1024, 766, 0.75
2048, 1512, 0.74
4096, 3010, 0.73
8192, 5992, 0.73
16384, 11976, 0.73
128, 216, 1.69
256, 446, 1.74
512, 398, 0.78
1024, 768, 0.75
2048, 1514, 0.74
4096, 3010, 0.73
8192, 5994, 0.73
16384, 11976, 0.73
128, 216, 1.69
256, 446, 1.74
512, 398, 0.78
1024, 768, 0.75
2048, 1510, 0.74
4096, 3008, 0.73
8192, 5992, 0.73
16384, 11968, 0.73
128, 216, 1.69
256, 446, 1.74
512, 398, 0.78
1024, 768, 0.75
2048, 1510, 0.74
4096, 3008, 0.73
8192, 5996, 0.73
16384, 11966, 0.73
128, 216, 1.69
256, 446, 1.74
512, 398, 0.78
1024, 766, 0.75
2048, 1512, 0.74
4096, 3010, 0.73
8192, 5992, 0.73
16384, 11974, 0.73
128, 216, 1.69
256, 448, 1.75
512, 398, 0.78
1024, 768, 0.75
2048, 1512, 0.74
4096, 3008, 0.73
8192, 5996, 0.73
16384, 11972, 0.73
128, 216, 1.69
256, 446, 1.74
512, 398, 0.78
1024, 766, 0.75
2048, 1512, 0.74
4096, 3008, 0.73
8192, 5998, 0.73
16384, 11970, 0.73
128, 216, 1.69
256, 446, 1.74
512, 398, 0.78
1024, 766, 0.75
2048, 1512, 0.74
4096, 3008, 0.73
8192, 5998, 0.73
16384, 11978, 0.73
