128, 500, 3.91
256, 964, 3.77
512, 1900, 3.71
1024, 3760, 3.67
2048, 7482, 3.65
4096, 15012, 3.67
8192, 29866, 3.65
16384, 59674, 3.64
128, 500, 3.91
256, 962, 3.76
512, 1892, 3.70
1024, 3758, 3.67
2048, 7488, 3.66
4096, 14950, 3.65
8192, 29908, 3.65
16384, 59770, 3.65
128, 498, 3.89
256, 962, 3.76
512, 1900, 3.71
1024, 3768, 3.68
2048, 7466, 3.65
4096, 15006, 3.66
8192, 29860, 3.65
16384, 59680, 3.64
128, 500, 3.91
256, 964, 3.77
512, 1898, 3.71
1024, 3768, 3.68
2048, 7468, 3.65
4096, 14994, 3.66
8192, 29962, 3.66
16384, 59782, 3.65
128, 498, 3.89
256, 970, 3.79
512, 1904, 3.72
1024, 3764, 3.68
2048, 7498, 3.66
4096, 14966, 3.65
8192, 29856, 3.64
16384, 59766, 3.65
128, 500, 3.91
256, 970, 3.79
512, 1900, 3.71
1024, 3758, 3.67
2048, 7508, 3.67
4096, 15020, 3.67
8192, 29898, 3.65
16384, 59744, 3.65
128, 500, 3.91
256, 968, 3.78
512, 1896, 3.70
1024, 3770, 3.68
2048, 7502, 3.66
4096, 14976, 3.66
8192, 29998, 3.66
16384, 59732, 3.65
128, 500, 3.91
256, 964, 3.77
512, 1896, 3.70
1024, 3750, 3.66
2048, 7502, 3.66
4096, 14988, 3.66
8192, 29862, 3.65
16384, 59720, 3.65
128, 502, 3.92
256, 964, 3.77
512, 1902, 3.71
1024, 3752, 3.66
2048, 7496, 3.66
4096, 14958, 3.65
8192, 29872, 3.65
16384, 59758, 3.65
128, 498, 3.89
256, 966, 3.77
512, 1906, 3.72
1024, 3766, 3.68
2048, 7462, 3.64
4096, 14976, 3.66
8192, 29950, 3.66
16384, 59718, 3.64
128, 498, 3.89
256, 964, 3.77
512, 1892, 3.70
1024, 3750, 3.66
2048, 7470, 3.65
4096, 14974, 3.66
8192, 29896, 3.65
16384, 59692, 3.64
