128, 726, 5.67
256, 630, 2.46
512, 1236, 2.41
1024, 2444, 2.39
2048, 4860, 2.37
4096, 9702, 2.37
8192, 19390, 2.37
16384, 38744, 2.36
128, 726, 5.67
256, 630, 2.46
512, 1234, 2.41
1024, 2444, 2.39
2048, 4858, 2.37
4096, 9700, 2.37
8192, 19392, 2.37
16384, 38748, 2.36
128, 726, 5.67
256, 630, 2.46
512, 1234, 2.41
1024, 2444, 2.39
2048, 4858, 2.37
4096, 9700, 2.37
8192, 19390, 2.37
16384, 38752, 2.37
128, 726, 5.67
256, 628, 2.45
512, 1236, 2.41
1024, 2444, 2.39
2048, 4860, 2.37
4096, 9702, 2.37
8192, 19388, 2.37
16384, 38718, 2.36
128, 726, 5.67
256, 628, 2.45
512, 1236, 2.41
1024, 2448, 2.39
2048, 4858, 2.37
4096, 9700, 2.37
8192, 19386, 2.37
16384, 38744, 2.36
128, 726, 5.67
256, 628, 2.45
512, 1236, 2.41
1024, 2442, 2.38
2048, 4860, 2.37
4096, 9694, 2.37
8192, 19392, 2.37
16384, 38734, 2.36
128, 726, 5.67
256, 630, 2.46
512, 1234, 2.41
1024, 2444, 2.39
2048, 4862, 2.37
4096, 9704, 2.37
8192, 19394, 2.37
16384, 38738, 2.36
128, 726, 5.67
256, 628, 2.45
512, 1236, 2.41
1024, 2446, 2.39
2048, 4862, 2.37
4096, 9696, 2.37
8192, 19392, 2.37
16384, 38738, 2.36
128, 726, 5.67
256, 630, 2.46
512, 1236, 2.41
1024, 2444, 2.39
2048, 4860, 2.37
4096, 9692, 2.37
8192, 19376, 2.37
16384, 38750, 2.37
128, 726, 5.67
256, 630, 2.46
512, 1236, 2.41
1024, 2446, 2.39
2048, 4860, 2.37
4096, 9700, 2.37
8192, 19396, 2.37
16384, 38754, 2.37
128, 726, 5.67
256, 630, 2.46
512, 1234, 2.41
1024, 2444, 2.39
2048, 4864, 2.38
4096, 9706, 2.37
8192, 19374, 2.36
16384, 38740, 2.36
