128, 722, 5.64
256, 620, 2.42
512, 1222, 2.39
1024, 2414, 2.36
2048, 4820, 2.35
4096, 9622, 2.35
8192, 19232, 2.35
16384, 38458, 2.35
128, 724, 5.66
256, 620, 2.42
512, 1222, 2.39
1024, 2416, 2.36
2048, 4816, 2.35
4096, 9624, 2.35
8192, 19250, 2.35
16384, 38436, 2.35
128, 724, 5.66
256, 620, 2.42
512, 1222, 2.39
1024, 2416, 2.36
2048, 4816, 2.35
4096, 9624, 2.35
8192, 19238, 2.35
16384, 38430, 2.35
128, 722, 5.64
256, 618, 2.41
512, 1222, 2.39
1024, 2418, 2.36
2048, 4816, 2.35
4096, 9634, 2.35
8192, 19244, 2.35
16384, 38444, 2.35
128, 724, 5.66
256, 616, 2.41
512, 1218, 2.38
1024, 2414, 2.36
2048, 4820, 2.35
4096, 9620, 2.35
8192, 19256, 2.35
16384, 38444, 2.35
128, 722, 5.64
256, 616, 2.41
512, 1222, 2.39
1024, 2418, 2.36
2048, 4814, 2.35
4096, 9622, 2.35
8192, 19242, 2.35
16384, 38456, 2.35
128, 724, 5.66
256, 618, 2.41
512, 1220, 2.38
1024, 2416, 2.36
2048, 4812, 2.35
4096, 9618, 2.35
8192, 19238, 2.35
16384, 38446, 2.35
128, 724, 5.66
256, 616, 2.41
512, 1220, 2.38
1024, 2416, 2.36
2048, 4820, 2.35
4096, 9632, 2.35
8192, 19244, 2.35
16384, 38446, 2.35
128, 724, 5.66
256, 620, 2.42
512, 1220, 2.38
1024, 2416, 2.36
2048, 4816, 2.35
4096, 9628, 2.35
8192, 19240, 2.35
16384, 38440, 2.35
128, 722, 5.64
256, 620, 2.42
512, 1218, 2.38
1024, 2418, 2.36
2048, 4820, 2.35
4096, 9632, 2.35
8192, 19250, 2.35
16384, 38462, 2.35
128, 722, 5.64
256, 620, 2.42
512, 1222, 2.39
1024, 2416, 2.36
2048, 4820, 2.35
4096, 9628, 2.35
8192, 19252, 2.35
16384, 38446, 2.35
