128, 348, 2.72
256, 742, 2.90
512, 622, 1.21
1024, 1208, 1.18
2048, 2400, 1.17
4096, 4786, 1.17
8192, 9546, 1.17
16384, 19088, 1.17
128, 350, 2.73
256, 740, 2.89
512, 622, 1.21
1024, 1212, 1.18
2048, 2400, 1.17
4096, 4786, 1.17
8192, 9544, 1.17
16384, 19086, 1.16
128, 350, 2.73
256, 742, 2.90
512, 624, 1.22
1024, 1208, 1.18
2048, 2400, 1.17
4096, 4778, 1.17
8192, 9546, 1.17
16384, 19088, 1.17
128, 350, 2.73
256, 742, 2.90
512, 624, 1.22
1024, 1214, 1.19
2048, 2400, 1.17
4096, 4780, 1.17
8192, 9546, 1.17
16384, 19090, 1.17
128, 348, 2.72
256, 742, 2.90
512, 622, 1.21
1024, 1212, 1.18
2048, 2400, 1.17
4096, 4782, 1.17
8192, 9542, 1.16
16384, 19084, 1.16
128, 350, 2.73
256, 742, 2.90
512, 622, 1.21
1024, 1212, 1.18
2048, 2402, 1.17
4096, 4782, 1.17
8192, 9546, 1.17
16384, 19082, 1.16
128, 348, 2.72
256, 744, 2.91
512, 622, 1.21
1024, 1214, 1.19
2048, 2398, 1.17
4096, 4782, 1.17
8192, 9536, 1.16
16384, 19088, 1.17
128, 350, 2.73
256, 742, 2.90
512, 622, 1.21
1024, 1212, 1.18
2048, 2398, 1.17
4096, 4784, 1.17
8192, 9540, 1.16
16384, 19086, 1.16
128, 350, 2.73
256, 742, 2.90
512, 622, 1.21
1024, 1210, 1.18
2048, 2398, 1.17
4096, 4780, 1.17
8192, 9542, 1.16
16384, 19090, 1.17
128, 350, 2.73
256, 742, 2.90
512, 618, 1.21
1024, 1208, 1.18
2048, 2398, 1.17
4096, 4786, 1.17
8192, 9548, 1.17
16384, 19080, 1.16
128, 350, 2.73
256, 740, 2.89
512, 622, 1.21
1024, 1212, 1.18
2048, 2400, 1.17
4096, 4784, 1.17
8192, 9532, 1.16
16384, 19082, 1.16
