128, 726, 5.67
256, 624, 2.44
512, 1226, 2.39
1024, 2426, 2.37
2048, 4828, 2.36
4096, 9648, 2.36
8192, 19286, 2.35
16384, 38530, 2.35
128, 726, 5.67
256, 624, 2.44
512, 1226, 2.39
1024, 2422, 2.37
2048, 4828, 2.36
4096, 9646, 2.35
8192, 19280, 2.35
16384, 38514, 2.35
128, 726, 5.67
256, 624, 2.44
512, 1226, 2.39
1024, 2426, 2.37
2048, 4826, 2.36
4096, 9644, 2.35
8192, 19280, 2.35
16384, 38514, 2.35
128, 726, 5.67
256, 624, 2.44
512, 1228, 2.40
1024, 2426, 2.37
2048, 4826, 2.36
4096, 9646, 2.35
8192, 19288, 2.35
16384, 38514, 2.35
128, 726, 5.67
256, 624, 2.44
512, 1226, 2.39
1024, 2428, 2.37
2048, 4828, 2.36
4096, 9648, 2.36
8192, 19300, 2.36
16384, 38516, 2.35
128, 726, 5.67
256, 624, 2.44
512, 1226, 2.39
1024, 2424, 2.37
2048, 4830, 2.36
4096, 9652, 2.36
8192, 19290, 2.35
16384, 38512, 2.35
128, 726, 5.67
256, 626, 2.45
512, 1228, 2.40
1024, 2428, 2.37
2048, 4828, 2.36
4096, 9644, 2.35
8192, 19274, 2.35
16384, 38518, 2.35
128, 726, 5.67
256, 624, 2.44
512, 1226, 2.39
1024, 2426, 2.37
2048, 4830, 2.36
4096, 9644, 2.35
8192, 19280, 2.35
16384, 38520, 2.35
128, 726, 5.67
256, 624, 2.44
512, 1226, 2.39
1024, 2426, 2.37
2048, 4824, 2.36
4096, 9650, 2.36
8192, 19278, 2.35
16384, 38506, 2.35
128, 726, 5.67
256, 624, 2.44
512, 1226, 2.39
1024, 2426, 2.37
2048, 4832, 2.36
4096, 9640, 2.35
8192, 19274, 2.35
16384, 38520, 2.35
128, 726, 5.67
256, 624, 2.44
512, 1226, 2.39
1024, 2426, 2.37
2048, 4824, 2.36
4096, 9644, 2.35
8192, 19272, 2.35
16384, 38512, 2.35
