128, 794, 6.20
256, 1556, 6.08
512, 3074, 6.00
1024, 6096, 5.95
2048, 12184, 5.95
4096, 24288, 5.93
8192, 48504, 5.92
16384, 96920, 5.92
128, 794, 6.20
256, 1554, 6.07
512, 3072, 6.00
1024, 6100, 5.96
2048, 12190, 5.95
4096, 24290, 5.93
8192, 48496, 5.92
16384, 96906, 5.91
128, 794, 6.20
256, 1556, 6.08
512, 3074, 6.00
1024, 6098, 5.96
2048, 12186, 5.95
4096, 24290, 5.93
8192, 48494, 5.92
16384, 96922, 5.92
128, 792, 6.19
256, 1554, 6.07
512, 3074, 6.00
1024, 6096, 5.95
2048, 12186, 5.95
4096, 24286, 5.93
8192, 48506, 5.92
16384, 96932, 5.92
128, 794, 6.20
256, 1556, 6.08
512, 3074, 6.00
1024, 6098, 5.96
2048, 12196, 5.96
4096, 24290, 5.93
8192, 48504, 5.92
16384, 96918, 5.92
128, 794, 6.20
256, 1554, 6.07
512, 3076, 6.01
1024, 6098, 5.96
2048, 12190, 5.95
4096, 24284, 5.93
8192, 48506, 5.92
16384, 96930, 5.92
128, 794, 6.20
256, 1556, 6.08
512, 3072, 6.00
1024, 6100, 5.96
2048, 12186, 5.95
4096, 24294, 5.93
8192, 48498, 5.92
16384, 96932, 5.92
128, 794, 6.20
256, 1554, 6.07
512, 3072, 6.00
1024, 6098, 5.96
2048, 12192, 5.95
4096, 24282, 5.93
8192, 48496, 5.92
16384, 96932, 5.92
128, 794, 6.20
256, 1556, 6.08
512, 3072, 6.00
1024, 6098, 5.96
2048, 12190, 5.95
4096, 24294, 5.93
8192, 48500, 5.92
16384, 96926, 5.92
128, 794, 6.20
256, 1556, 6.08
512, 3072, 6.00
1024, 6094, 5.95
2048, 12190, 5.95
4096, 24284, 5.93
8192, 48500, 5.92
16384, 96926, 5.92
128, 794, 6.20
256, 1556, 6.08
512, 3076, 6.01
1024, 6098, 5.96
2048, 12188, 5.95
4096, 24286, 5.93
8192, 48510, 5.92
16384, 96926, 5.92
