128, 798, 6.23
256, 1570, 6.13
512, 3096, 6.05
1024, 6150, 6.01
2048, 12284, 6.00
4096, 24494, 5.98
8192, 48896, 5.97
16384, 97708, 5.96
128, 798, 6.23
256, 1568, 6.12
512, 3094, 6.04
1024, 6148, 6.00
2048, 12282, 6.00
4096, 24496, 5.98
8192, 48888, 5.97
16384, 97684, 5.96
128, 796, 6.22
256, 1570, 6.13
512, 3096, 6.05
1024, 6148, 6.00
2048, 12288, 6.00
4096, 24492, 5.98
8192, 48904, 5.97
16384, 97690, 5.96
128, 800, 6.25
256, 1572, 6.14
512, 3094, 6.04
1024, 6146, 6.00
2048, 12298, 6.00
4096, 24486, 5.98
8192, 48898, 5.97
16384, 97696, 5.96
128, 798, 6.23
256, 1566, 6.12
512, 3096, 6.05
1024, 6152, 6.01
2048, 12294, 6.00
4096, 24494, 5.98
8192, 48902, 5.97
16384, 97710, 5.96
128, 798, 6.23
256, 1564, 6.11
512, 3098, 6.05
1024, 6150, 6.01
2048, 12284, 6.00
4096, 24492, 5.98
8192, 48890, 5.97
16384, 97708, 5.96
128, 798, 6.23
256, 1566, 6.12
512, 3096, 6.05
1024, 6148, 6.00
2048, 12288, 6.00
4096, 24488, 5.98
8192, 48884, 5.97
16384, 97712, 5.96
128, 798, 6.23
256, 1568, 6.12
512, 3098, 6.05
1024, 6146, 6.00
2048, 12282, 6.00
4096, 24480, 5.98
8192, 48888, 5.97
16384, 97706, 5.96
128, 796, 6.22
256, 1566, 6.12
512, 3094, 6.04
1024, 6150, 6.01
2048, 12288, 6.00
4096, 24484, 5.98
8192, 48896, 5.97
16384, 97696, 5.96
128, 800, 6.25
256, 1568, 6.12
512, 3098, 6.05
1024, 6148, 6.00
2048, 12292, 6.00
4096, 24494, 5.98
8192, 48880, 5.97
16384, 97708, 5.96
128, 798, 6.23
256, 1564, 6.11
512, 3098, 6.05
1024, 6142, 6.00
2048, 12288, 6.00
4096, 24498, 5.98
8192, 48896, 5.97
16384, 97718, 5.96
