128, 494, 3.86
256, 960, 3.75
512, 1894, 3.70
1024, 3764, 3.68
2048, 7506, 3.67
4096, 15026, 3.67
8192, 29962, 3.66
16384, 59848, 3.65
128, 494, 3.86
256, 960, 3.75
512, 1896, 3.70
1024, 3762, 3.67
2048, 7504, 3.66
4096, 15012, 3.67
8192, 29966, 3.66
16384, 59866, 3.65
128, 494, 3.86
256, 962, 3.76
512, 1894, 3.70
1024, 3764, 3.68
2048, 7508, 3.67
4096, 15016, 3.67
8192, 29972, 3.66
16384, 59846, 3.65
128, 494, 3.86
256, 962, 3.76
512, 1894, 3.70
1024, 3758, 3.67
2048, 7506, 3.67
4096, 15014, 3.67
8192, 29958, 3.66
16384, 59866, 3.65
128, 494, 3.86
256, 962, 3.76
512, 1896, 3.70
1024, 3760, 3.67
2048, 7508, 3.67
4096, 15008, 3.66
8192, 29968, 3.66
16384, 59858, 3.65
128, 492, 3.84
256, 960, 3.75
512, 1892, 3.70
1024, 3762, 3.67
2048, 7508, 3.67
4096, 15022, 3.67
8192, 29964, 3.66
16384, 59862, 3.65
128, 494, 3.86
256, 962, 3.76
512, 1894, 3.70
1024, 3760, 3.67
2048, 7504, 3.66
4096, 15012, 3.67
8192, 29958, 3.66
16384, 59850, 3.65
128, 494, 3.86
256, 960, 3.75
512, 1896, 3.70
1024, 3764, 3.68
2048, 7510, 3.67
4096, 14998, 3.66
8192, 29954, 3.66
16384, 59848, 3.65
128, 494, 3.86
256, 962, 3.76
512, 1892, 3.70
1024, 3764, 3.68
2048, 7504, 3.66
4096, 15024, 3.67
8192, 29974, 3.66
16384, 59860, 3.65
128, 494, 3.86
256, 962, 3.76
512, 1892, 3.70
1024, 3762, 3.67
2048, 7508, 3.67
4096, 15022, 3.67
8192, 29952, 3.66
16384, 59850, 3.65
128, 494, 3.86
256, 962, 3.76
512, 1894, 3.70
1024, 3762, 3.67
2048, 7500, 3.66
4096, 15010, 3.66
8192, 29970, 3.66
16384, 59862, 3.65
