128, 706, 5.52
256, 704, 2.75
512, 1396, 2.73
1024, 2768, 2.70
2048, 5536, 2.70
4096, 11032, 2.69
8192, 22120, 2.70
16384, 44136, 2.69
128, 708, 5.53
256, 708, 2.77
512, 1396, 2.73
1024, 2774, 2.71
2048, 5530, 2.70
4096, 11040, 2.70
8192, 22110, 2.70
16384, 44102, 2.69
128, 708, 5.53
256, 704, 2.75
512, 1394, 2.72
1024, 2770, 2.71
2048, 5530, 2.70
4096, 11036, 2.69
8192, 22096, 2.70
16384, 44136, 2.69
128, 708, 5.53
256, 706, 2.76
512, 1394, 2.72
1024, 2770, 2.71
2048, 5528, 2.70
4096, 11054, 2.70
8192, 22102, 2.70
16384, 44150, 2.69
128, 708, 5.53
256, 704, 2.75
512, 1394, 2.72
1024, 2770, 2.71
2048, 5530, 2.70
4096, 11056, 2.70
8192, 22112, 2.70
16384, 44158, 2.70
128, 708, 5.53
256, 706, 2.76
512, 1396, 2.73
1024, 2770, 2.71
2048, 5536, 2.70
4096, 11036, 2.69
8192, 22080, 2.70
16384, 44136, 2.69
128, 708, 5.53
256, 704, 2.75
512, 1392, 2.72
1024, 2766, 2.70
2048, 5530, 2.70
4096, 11044, 2.70
8192, 22098, 2.70
16384, 44116, 2.69
128, 706, 5.52
256, 706, 2.76
512, 1396, 2.73
1024, 2774, 2.71
2048, 5534, 2.70
4096, 11042, 2.70
8192, 22082, 2.70
16384, 44124, 2.69
128, 708, 5.53
256, 708, 2.77
512, 1396, 2.73
1024, 2772, 2.71
2048, 5532, 2.70
4096, 11034, 2.69
8192, 22094, 2.70
16384, 44144, 2.69
128, 708, 5.53
256, 704, 2.75
512, 1396, 2.73
1024, 2768, 2.70
2048, 5534, 2.70
4096, 11044, 2.70
8192, 22086, 2.70
16384, 44156, 2.70
128, 706, 5.52
256, 704, 2.75
512, 1396, 2.73
1024, 2772, 2.71
2048, 5534, 2.70
4096, 11042, 2.70
8192, 22112, 2.70
16384, 44128, 2.69
