128, 710, 5.55
256, 716, 2.80
512, 712, 1.39
1024, 1412, 1.38
2048, 2802, 1.37
4096, 5586, 1.36
8192, 11162, 1.36
16384, 22358, 1.36
128, 714, 5.58
256, 714, 2.79
512, 714, 1.39
1024, 1412, 1.38
2048, 2800, 1.37
4096, 5584, 1.36
8192, 11156, 1.36
16384, 22374, 1.37
128, 714, 5.58
256, 716, 2.80
512, 714, 1.39
1024, 1410, 1.38
2048, 2802, 1.37
4096, 5590, 1.36
8192, 11174, 1.36
16384, 22352, 1.36
128, 714, 5.58
256, 716, 2.80
512, 712, 1.39
1024, 1410, 1.38
2048, 2804, 1.37
4096, 5578, 1.36
8192, 11164, 1.36
16384, 22360, 1.36
128, 714, 5.58
256, 716, 2.80
512, 714, 1.39
1024, 1410, 1.38
2048, 2806, 1.37
4096, 5580, 1.36
8192, 11142, 1.36
16384, 22362, 1.36
128, 714, 5.58
256, 716, 2.80
512, 712, 1.39
1024, 1410, 1.38
2048, 2798, 1.37
4096, 5584, 1.36
8192, 11154, 1.36
16384, 22352, 1.36
128, 714, 5.58
256, 718, 2.80
512, 714, 1.39
1024, 1412, 1.38
2048, 2802, 1.37
4096, 5582, 1.36
8192, 11158, 1.36
16384, 22366, 1.37
128, 710, 5.55
256, 716, 2.80
512, 712, 1.39
1024, 1410, 1.38
2048, 2804, 1.37
4096, 5576, 1.36
8192, 11160, 1.36
16384, 22362, 1.36
128, 714, 5.58
256, 718, 2.80
512, 712, 1.39
1024, 1410, 1.38
2048, 2802, 1.37
4096, 5590, 1.36
8192, 11162, 1.36
16384, 22374, 1.37
128, 714, 5.58
256, 716, 2.80
512, 714, 1.39
1024, 1410, 1.38
2048, 2804, 1.37
4096, 5592, 1.37
8192, 11172, 1.36
16384, 22364, 1.36
128, 714, 5.58
256, 716, 2.80
512, 714, 1.39
1024, 1410, 1.38
2048, 2804, 1.37
4096, 5584, 1.36
8192, 11158, 1.36
16384, 22360, 1.36
