128, 714, 5.58
256, 718, 2.80
512, 720, 1.41
1024, 1424, 1.39
2048, 2824, 1.38
4096, 5628, 1.37
8192, 11244, 1.37
16384, 22550, 1.38
128, 714, 5.58
256, 716, 2.80
512, 720, 1.41
1024, 1422, 1.39
2048, 2826, 1.38
4096, 5630, 1.37
8192, 11246, 1.37
16384, 22544, 1.38
128, 714, 5.58
256, 718, 2.80
512, 720, 1.41
1024, 1422, 1.39
2048, 2822, 1.38
4096, 5628, 1.37
8192, 11246, 1.37
16384, 22542, 1.38
128, 714, 5.58
256, 716, 2.80
512, 722, 1.41
1024, 1424, 1.39
2048, 2824, 1.38
4096, 5630, 1.37
8192, 11244, 1.37
16384, 22536, 1.38
128, 710, 5.55
256, 716, 2.80
512, 720, 1.41
1024, 1422, 1.39
2048, 2826, 1.38
4096, 5630, 1.37
8192, 11238, 1.37
16384, 22544, 1.38
128, 714, 5.58
256, 718, 2.80
512, 720, 1.41
1024, 1422, 1.39
2048, 2826, 1.38
4096, 5632, 1.38
8192, 11242, 1.37
16384, 22538, 1.38
128, 716, 5.59
256, 716, 2.80
512, 720, 1.41
1024, 1422, 1.39
2048, 2824, 1.38
4096, 5634, 1.38
8192, 11244, 1.37
16384, 22544, 1.38
128, 716, 5.59
256, 718, 2.80
512, 720, 1.41
1024, 1422, 1.39
2048, 2826, 1.38
4096, 5632, 1.38
8192, 11248, 1.37
16384, 22544, 1.38
128, 712, 5.56
256, 718, 2.80
512, 720, 1.41
1024, 1422, 1.39
2048, 2826, 1.38
4096, 5632, 1.38
8192, 11242, 1.37
16384, 22542, 1.38
128, 714, 5.58
256, 714, 2.79
512, 722, 1.41
1024, 1424, 1.39
2048, 2824, 1.38
4096, 5630, 1.37
8192, 11244, 1.37
16384, 22540, 1.38
128, 710, 5.55
256, 716, 2.80
512, 720, 1.41
1024, 1422, 1.39
2048, 2824, 1.38
4096, 5632, 1.38
8192, 11240, 1.37
16384, 22540, 1.38
